ViaPPS produsert fil	: Filversjon 1.21
F.ID.	: Rosita_NO_001
ViaPPS software versjon	: 8.9.12.1

Rapportdato				: 26.03.2026 13:24:47
Filnavn					: PPS_Fy01_1_1_m00000-1_m00902_felt1___20260313-145945.txt
Mappe					: D:\ViaPPS_RBS\RAW_DATA\Fy001_1_hp1_f1_20260313-145945

ViaPPS opptakerversjon	: 8.5.6.0 - 01.06.2016 13:21:02

Sjåfør					: Egon
Bilnummer				: 
UtstyrsID				: VIATECH
Utstyrsmerknader		: 
Opptaksdato				: 13.03.2026 14:59:45
Formål					: 
Måleserienummer					: 1
Målingskommentarer		: 
Målingslengde			: 902
Værkommentarer			: 
Teksturlaserposisjon	: Y

Beregningsintervall [m]	: 1
Rettholt venstre [m]	: Bunnrettholt : -1,8[m]  Snorholt : -1,8[m]  Regresjonsholt : -1,8[m]
Rettholt høyre [m]		: Bunnrettholt :  1,8[m]  Snorholt :  1,8[m]  Regresjonsholt :  1,8[m]
Filter orden [punkter]	: 11
Profil snittlengde [m]	: 0,0
Metodefil versjon/dato	: Ikke tilgjengelig
Beregningskommentaer	: Beregningstype=CEN_13036_8, Midlingsalgoritme=ChebyshevFilter, AntallMidledeProfiler=1, Rettholtlengdetype=Fast lengde, Sporryggdeteksjon=Av
Kalibreringsdata	: Kalib.dato=19. juni 2025 09:11:30, Pulser=1203,835000, Rull=0,000000, Stamp=-0,033432, ScannerRull=-0,006738
Tverrfallskalibreringsdata	: 13. mars 2026 14:35:31
Sensormontasjedata1	: Imu=-1,60[m], ProfileScanner=-3,60[m], TeksturLaser=2,26[m]
Sensormontasjedata2	: GnssDx=-1,92[m], GnssDy=-0,28[m], GnssDz=-2,29[m]
Sensormontasjedata3	: GnssImuDx=-0,03[m], GnssImuDy=0,33[m], GnssImuDz=1,51[m]

Vegnett fylkesversjon			: 
Vegnett serverversjon			: 
Vegnett genereringsappliksajonsversjon	: 

Startposisjon:
Fylke			: 1
Veg				: 1
Strekning		: 1
Vegmeter		: 0
Kjørefelt		: 1
Stedsnavn		: 

Stopposisjon:
Fylke			: 1
Veg				: 1
Strekning		: 1
Vegmeter		: 902,268820874122
Kjørefelt		: 1
Stedsnavn		: 

Vegnettnoder
Nodenr	: Lengde [m]	: Fylke []	: Stedsnavn []	: Vegnavn []	: Hp []	: Fra Vegmeter [m]	: Til Vegmeter [m]	: 
Node0	: 901	: 1	: 	: 1	: 1	: -1	: 903

Justeringsnoder
Justeringnr	: Distanse [m]	: Justering [m]

Utkjørt meter [m]	Fra strekning []	Fra vegmeter [m]	Til strekning []	Til vegmeter [m]	Spordybde [mm]	Sporbredde [cm]	Tverrfall [%]	Kurveradius [m]	IRI [mm/m]	MPD [mm]	Beregningsmetode []	Tid [ms]	Hastighet [km/t]	Høyde [m]	Signalkvalitet [%]	Breddegrad [°]	Lengdegrad [°]	Sone 33V N [m]	Sone 33V Ø [m]	Sporposisjon [cm]	Areal [cm^2]	Pause []	Pos. asfalt kant [cm]	Pos. kantlinje [cm]	Type kantlinje []	Kval. kantlinje [%]	Pos. midtlinje [cm]	Type midtlinje []	Kval. midtlinje [%]	Pos. ekstra midtlinje [cm]	Type ekstra midtlinje []	Kval. ekstra midtlinje [%]	CEN 13036 Høyre sporposisjon [cm]	CEN 13036 Høyre spordybde [mm]	CEN 13036 Venstre sporposisjon [cm]	CEN 13036 Venstre spordybde [mm]	CEN 13036 Max sporposisjon [cm]	CEN 13036 Max spordybde [mm]	CEN 13036 Sporbredde [cm]	CEN 13036 Tverrfall [%]	CEN 13036 Areal [cm^2]	Bunn Høyre sporposisjon [cm]	Bunn Høyre spordybde [mm]	Bunn Venstre sporposisjon [cm]	Bunn Venstre spordybde [mm]	Bunn Max sporposisjon [cm]	Bunn Max spordybde [mm]	Bunn Sporbredde [cm]	Bunn Tverrfall [%]	Bunn Areal [cm^2]	Snor Høyre sporposisjon [cm]	Snor Høyre spordybde [mm]	Snor Venstre sporposisjon [cm]	Snor Venstre spordybde [mm]	Snor Max sporposisjon [cm]	Snor Max spordybde [mm]	Snor Sporbredde [cm]	Snor Tverrfall [%]	Snor Areal [cm^2]	Krum Høyre sporposisjon [cm]	Krum Høyre spordybde [mm]	Krum Venstre sporposisjon [cm]	Krum Venstre spordybde [mm]	Krum Max sporposisjon [cm]	Krum Max spordybde [mm]	Krum Sporbredde [cm]	Krum Tverrfall [%]	Krum Areal [cm^2]	Regresjon Høyre sporposisjon [cm]	Regresjon Høyre spordybde [mm]	Regresjon Venstre sporposisjon [cm]	Regresjon Venstre spordybde [mm]	Regresjon Max sporposisjon [cm]	Regresjon Max spordybde [mm]	Regresjon Sporbredde [cm]	Regresjon Tverrfall [%]	Regresjon Areal [cm^2]	Metode Høyre sporposisjon [cm]	Metode Høyre spordybde [mm]	Metode Venstre sporposisjon [cm]	Metode Venstre spordybde [mm]	Metode Max sporposisjon [cm]	Metode Max spordybde [mm]	Metode Sporbredde [cm]	Metode Tverrfall [%]	Metode Areal [cm^2]	
11,0	1	10,0	1	11,0	21,2	165,9	-0,3	2000	NaN	NaN	C	895	65,7	69,7	55	59,3613836	24,7164569	6620645,44	1051091,25	-97,6	322,7	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	69,0	20,1	-97,6	21,2	-97,6	21,2	165,9	-0,3	322,7	66,6	18,4	-97,3	18,4	-21,6	18,4	164,6	-0,3	140,4	66,6	22,9	-97,3	23,6	-97,0	23,6	164,6	-0,3	411,5	61,8	51,3	-88,0	47,4	-179,7	0,0	149,6	-0,3	0,0	66,6	11,2	-97,3	11,6	-174,3	23,8	164,6	-0,3	225,7	69,0	20,1	-97,6	21,2	-97,6	21,2	165,9	-0,3	322,7	
12,0	1	11,0	1	12,0	21,7	161,8	-0,3	2000	NaN	NaN	C	950	65,7	69,7	55	59,3613749	24,7164507	6620644,42	1051091,04	-95,6	316,1	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	65,3	20,4	-95,6	21,7	-95,6	21,7	161,8	-0,3	316,1	65,3	19,1	-94,7	19,1	-18,6	19,1	160,6	-0,3	130,2	65,3	22,4	-94,7	23,7	-94,6	23,7	160,6	-0,3	389,0	61,7	50,9	-89,0	47,2	-179,5	0,0	150,1	-0,3	0,0	65,3	11,7	-94,7	12,1	-170,4	23,9	160,6	-0,3	230,2	65,3	20,4	-95,6	21,7	-95,6	21,7	161,8	-0,3	316,1	
13,0	1	12,0	1	13,0	21,1	163,1	-0,3	2000	NaN	NaN	C	1006	65,8	69,7	55	59,3613661	24,7164444	6620643,40	1051090,83	-94,6	322,3	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	66,5	20,7	-95,7	21,1	-94,6	21,1	163,1	-0,3	322,3	65,6	19,2	-95,6	19,2	-18,6	19,2	161,2	-0,3	134,6	65,6	22,9	-95,6	22,9	-93,9	23,1	161,2	-0,3	383,7	61,8	50,9	-87,6	46,7	-179,6	0,0	148,1	-0,3	0,0	65,6	11,8	-95,6	11,6	-174,7	23,8	161,2	-0,3	232,2	66,5	20,7	-95,7	21,1	-94,6	21,1	163,1	-0,3	322,3	
14,0	1	13,0	1	14,0	21,4	161,2	-0,4	2000	NaN	NaN	C	1061	65,8	69,7	55	59,3613573	24,7164382	6620642,38	1051090,62	-97,0	325,7	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	64,0	20,6	-97,0	21,3	-97,0	21,4	161,2	-0,4	325,7	64,0	19,0	-96,1	19,0	-13,0	19,0	160,2	-0,4	128,1	64,0	23,2	-96,1	23,5	-95,8	23,7	160,2	-0,4	396,6	58,6	51,7	-90,4	46,9	-179,5	0,0	147,4	-0,4	0,0	64,0	11,9	-96,1	11,6	-172,0	24,0	160,2	-0,4	233,0	64,0	20,6	-97,0	21,3	-97,0	21,4	161,2	-0,4	325,7	
15,0	1	14,0	1	15,0	21,2	161,6	-0,4	2000	NaN	NaN	C	1117	65,7	69,8	55	59,3613497	24,7164327	6620641,49	1051090,43	-94,0	322,1	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	65,2	20,3	-96,3	21,1	-94,0	21,2	161,6	-0,4	322,1	65,1	18,7	-96,0	18,7	-13,6	18,7	161,3	-0,4	130,6	64,9	22,5	-95,2	22,9	-93,7	23,2	160,2	-0,4	395,5	59,2	51,0	-89,0	46,6	-179,8	0,0	148,5	-0,4	0,0	64,9	11,1	-96,0	11,6	4,3	23,3	160,2	-0,4	227,7	65,2	20,3	-96,3	21,1	-94,0	21,2	161,6	-0,4	322,1	
16,0	1	15,0	1	16,0	21,0	160,3	-0,3	2000	NaN	NaN	C	1165	65,8	69,8	55	59,3613421	24,7164272	6620640,60	1051090,25	63,6	333,8	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	66,3	20,9	-94,7	20,3	63,6	21,0	160,3	-0,3	333,8	64,3	18,4	-94,7	18,4	-13,4	18,4	159,1	-0,4	125,4	64,3	23,4	-94,7	23,0	63,8	23,4	159,1	-0,4	413,1	59,8	52,3	-87,8	47,0	-179,4	0,0	148,4	-0,4	0,0	64,3	11,4	-94,7	11,0	179,7	23,9	159,1	-0,3	226,8	66,3	20,9	-94,7	20,3	63,6	21,0	160,3	-0,3	333,8	
17,0	1	16,0	1	17,0	21,7	161,7	-0,4	2000	NaN	NaN	C	1221	65,8	69,8	55	59,3613333	24,7164209	6620639,58	1051090,03	-95,3	337,1	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	66,0	21,3	-95,4	21,6	-95,3	21,7	161,7	-0,4	337,1	65,4	19,3	-95,0	19,3	-14,2	19,3	160,1	-0,4	130,0	65,4	24,1	-95,0	24,1	63,1	24,2	160,1	-0,4	430,6	59,9	52,2	-88,5	47,8	-179,4	0,0	147,9	-0,4	0,0	65,4	11,8	-95,0	12,0	179,1	24,4	160,1	-0,4	236,3	66,0	21,3	-95,4	21,6	-95,3	21,7	161,7	-0,4	337,1	
18,0	1	17,0	1	18,0	22,0	161,0	-0,4	2000	NaN	NaN	C	1283	65,8	69,8	56	59,3613235	24,7164138	6620638,43	1051089,79	66,3	339,7	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	66,3	21,9	-94,8	21,3	66,3	22,0	161,0	-0,4	339,7	66,3	19,3	-93,5	19,3	-15,7	19,3	159,3	-0,4	131,8	66,3	24,7	-93,2	24,0	66,3	24,9	159,3	-0,4	424,2	61,2	52,9	-86,4	47,4	-179,4	0,0	147,6	-0,4	0,0	66,3	12,2	-93,2	11,6	179,4	25,1	159,3	-0,4	241,8	66,3	21,9	-94,8	21,3	66,3	22,0	161,0	-0,4	339,7	
19,0	1	18,0	1	19,0	22,4	161,7	-0,4	2000	NaN	NaN	C	1332	65,8	69,8	56	59,3613169	24,7164090	6620637,66	1051089,63	-92,8	342,9	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	66,3	21,1	-94,8	21,3	-92,8	22,4	161,7	-0,4	342,9	65,7	19,1	-94,5	19,1	-14,5	19,1	160,5	-0,3	128,4	65,7	24,1	-94,5	24,1	64,5	24,4	160,5	-0,3	422,5	61,2	52,3	-88,7	47,6	-179,3	0,0	149,7	-0,3	0,0	64,5	11,8	-94,5	11,9	179,5	25,4	159,2	-0,4	238,2	66,3	21,1	-94,8	21,3	-92,8	22,4	161,7	-0,4	342,9	
20,0	1	19,0	1	20,0	21,6	161,6	-0,5	2000	NaN	NaN	C	1387	65,9	69,8	55	59,3613081	24,7164027	6620636,64	1051089,42	-94,5	333,5	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	65,7	21,2	-95,2	21,5	-94,5	21,6	161,6	-0,5	333,5	64,1	19,0	-95,1	19,0	-11,6	19,0	158,3	-0,5	128,9	64,7	23,9	-95,1	24,0	-14,8	24,0	159,3	-0,5	419,3	61,2	51,9	-87,9	47,2	-179,5	0,0	147,4	-0,5	0,0	64,1	11,7	-95,1	11,9	179,3	24,5	158,3	-0,5	236,5	65,7	21,2	-95,2	21,5	-94,5	21,6	161,6	-0,5	333,5	
21,0	1	20,0	1	21,0	20,9	163,2	-0,7	2000	NaN	NaN	C	1436	65,9	69,8	56	59,3613004	24,7163972	6620635,74	1051089,23	67,7	326,2	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	67,7	20,8	-95,4	20,4	67,7	20,9	163,2	-0,7	326,2	64,6	18,0	-94,6	18,0	-12,8	18,0	159,2	-0,8	124,1	64,6	24,0	-93,3	23,4	64,6	24,0	158,4	-0,8	418,6	60,0	51,7	-87,1	46,5	-179,6	0,0	147,1	-0,8	0,0	64,6	11,8	-94,6	11,0	179,2	24,2	159,2	-0,7	232,3	67,7	20,8	-95,4	20,4	67,7	20,9	163,2	-0,7	326,2	
22,0	1	21,0	1	22,0	20,9	160,4	-0,7	2000	NaN	NaN	C	1491	66,0	69,8	56	59,3612916	24,7163909	6620634,71	1051089,02	-92,0	319,3	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	67,0	20,2	-92,6	20,8	-92,0	20,9	160,4	-0,7	319,3	64,4	18,5	-92,0	18,5	-14,8	18,5	156,9	-0,7	123,4	64,4	22,5	-92,0	23,1	-87,3	23,2	156,9	-0,7	389,5	59,3	50,6	-85,2	46,0	-179,6	0,0	144,5	-0,7	0,0	64,4	11,2	-92,0	11,5	7,6	23,3	156,9	-0,7	231,0	67,0	20,2	-92,6	20,8	-92,0	20,9	160,4	-0,7	319,3	
23,0	1	22,0	1	23,0	21,2	162,3	-0,8	2000	NaN	NaN	C	1554	66,0	69,8	56	59,3612828	24,7163845	6620633,69	1051088,81	-93,6	309,5	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	68,9	19,6	-93,6	21,2	-93,6	21,2	162,3	-0,8	309,5	67,7	18,5	-92,9	18,5	-9,2	18,5	161,6	-0,8	126,6	67,7	21,9	-92,9	23,2	-92,1	23,2	161,6	-0,8	383,4	62,4	49,4	-88,6	46,1	-179,7	0,0	150,5	-0,8	0,0	67,7	11,1	-92,9	12,1	-163,8	23,5	161,6	-0,8	229,8	68,9	19,6	-93,6	21,2	-93,6	21,2	162,3	-0,8	309,5	
24,0	1	23,0	1	24,0	22,1	161,7	-1,0	2000	NaN	NaN	C	1602	66,0	69,8	55	59,3612751	24,7163790	6620632,79	1051088,62	-93,3	320,6	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	69,5	20,3	-93,3	22,1	-93,3	22,1	161,7	-1,0	320,6	69,5	19,0	-93,3	19,0	-16,9	19,0	161,7	-0,9	136,2	68,8	22,1	-93,3	24,2	-93,3	24,2	161,0	-0,9	390,8	63,7	49,6	-88,5	46,3	-179,6	0,0	151,0	-0,9	0,0	68,8	11,2	-93,3	12,6	-163,3	24,3	161,0	-1,0	233,7	69,5	20,3	-93,3	22,1	-93,3	22,1	161,7	-1,0	320,6	
25,0	1	24,0	1	25,0	20,9	160,3	-1,2	2000	NaN	NaN	C	1657	66,0	69,8	56	59,3612663	24,7163727	6620631,77	1051088,41	-93,1	309,9	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	68,3	20,1	-93,4	20,7	-93,1	20,9	160,3	-1,2	309,9	67,9	18,7	-92,9	18,7	-14,6	18,7	159,6	-1,1	126,6	67,0	22,2	-93,0	22,6	-92,7	22,7	159,3	-1,1	373,9	63,4	49,3	-86,9	45,2	-179,5	0,0	150,5	-1,1	0,0	67,0	11,5	-93,0	11,8	178,4	22,8	159,3	-1,2	227,6	68,3	20,1	-93,4	20,7	-93,1	20,9	160,3	-1,2	309,9	
