ViaPPS produsert fil	: Filversjon 1.21
F.ID.	: Rosita_NO_001
ViaPPS software versjon	: 8.9.12.1

Rapportdato				: 26.03.2026 13:24:47
Filnavn					: PPS_Fy01_1_1_m00000-1_m00898_felt1___20260313-145521.txt
Mappe					: D:\ViaPPS_RBS\RAW_DATA\Fy001_1_hp1_f1_20260313-145521

ViaPPS opptakerversjon	: 8.5.6.0 - 01.06.2016 13:21:02

Sjåfør					: Egon
Bilnummer				: 
UtstyrsID				: VIATECH
Utstyrsmerknader		: 
Opptaksdato				: 13.03.2026 14:55:21
Formål					: 
Måleserienummer					: 1
Målingskommentarer		: 
Målingslengde			: 898
Værkommentarer			: 
Teksturlaserposisjon	: Y

Beregningsintervall [m]	: 1
Rettholt venstre [m]	: Bunnrettholt : -1,8[m]  Snorholt : -1,8[m]  Regresjonsholt : -1,8[m]
Rettholt høyre [m]		: Bunnrettholt :  1,8[m]  Snorholt :  1,8[m]  Regresjonsholt :  1,8[m]
Filter orden [punkter]	: 11
Profil snittlengde [m]	: 0,0
Metodefil versjon/dato	: Ikke tilgjengelig
Beregningskommentaer	: Beregningstype=CEN_13036_8, Midlingsalgoritme=ChebyshevFilter, AntallMidledeProfiler=1, Rettholtlengdetype=Fast lengde, Sporryggdeteksjon=Av
Kalibreringsdata	: Kalib.dato=19. juni 2025 09:11:30, Pulser=1203,835000, Rull=0,000000, Stamp=-0,033432, ScannerRull=-0,006738
Tverrfallskalibreringsdata	: 13. mars 2026 14:35:31
Sensormontasjedata1	: Imu=-1,60[m], ProfileScanner=-3,60[m], TeksturLaser=2,26[m]
Sensormontasjedata2	: GnssDx=-1,92[m], GnssDy=-0,28[m], GnssDz=-2,29[m]
Sensormontasjedata3	: GnssImuDx=-0,03[m], GnssImuDy=0,33[m], GnssImuDz=1,51[m]

Vegnett fylkesversjon			: 
Vegnett serverversjon			: 
Vegnett genereringsappliksajonsversjon	: 

Startposisjon:
Fylke			: 1
Veg				: 1
Strekning		: 1
Vegmeter		: 0
Kjørefelt		: 1
Stedsnavn		: 

Stopposisjon:
Fylke			: 1
Veg				: 1
Strekning		: 1
Vegmeter		: 898,730734351469
Kjørefelt		: 1
Stedsnavn		: 

Vegnettnoder
Nodenr	: Lengde [m]	: Fylke []	: Stedsnavn []	: Vegnavn []	: Hp []	: Fra Vegmeter [m]	: Til Vegmeter [m]	: 
Node0	: 898	: 1	: 	: 1	: 1	: -1	: 899

Justeringsnoder
Justeringnr	: Distanse [m]	: Justering [m]

Utkjørt meter [m]	Fra strekning []	Fra vegmeter [m]	Til strekning []	Til vegmeter [m]	Spordybde [mm]	Sporbredde [cm]	Tverrfall [%]	Kurveradius [m]	IRI [mm/m]	MPD [mm]	Beregningsmetode []	Tid [ms]	Hastighet [km/t]	Høyde [m]	Signalkvalitet [%]	Breddegrad [°]	Lengdegrad [°]	Sone 33V N [m]	Sone 33V Ø [m]	Sporposisjon [cm]	Areal [cm^2]	Pause []	Pos. asfalt kant [cm]	Pos. kantlinje [cm]	Type kantlinje []	Kval. kantlinje [%]	Pos. midtlinje [cm]	Type midtlinje []	Kval. midtlinje [%]	Pos. ekstra midtlinje [cm]	Type ekstra midtlinje []	Kval. ekstra midtlinje [%]	CEN 13036 Høyre sporposisjon [cm]	CEN 13036 Høyre spordybde [mm]	CEN 13036 Venstre sporposisjon [cm]	CEN 13036 Venstre spordybde [mm]	CEN 13036 Max sporposisjon [cm]	CEN 13036 Max spordybde [mm]	CEN 13036 Sporbredde [cm]	CEN 13036 Tverrfall [%]	CEN 13036 Areal [cm^2]	Bunn Høyre sporposisjon [cm]	Bunn Høyre spordybde [mm]	Bunn Venstre sporposisjon [cm]	Bunn Venstre spordybde [mm]	Bunn Max sporposisjon [cm]	Bunn Max spordybde [mm]	Bunn Sporbredde [cm]	Bunn Tverrfall [%]	Bunn Areal [cm^2]	Snor Høyre sporposisjon [cm]	Snor Høyre spordybde [mm]	Snor Venstre sporposisjon [cm]	Snor Venstre spordybde [mm]	Snor Max sporposisjon [cm]	Snor Max spordybde [mm]	Snor Sporbredde [cm]	Snor Tverrfall [%]	Snor Areal [cm^2]	Krum Høyre sporposisjon [cm]	Krum Høyre spordybde [mm]	Krum Venstre sporposisjon [cm]	Krum Venstre spordybde [mm]	Krum Max sporposisjon [cm]	Krum Max spordybde [mm]	Krum Sporbredde [cm]	Krum Tverrfall [%]	Krum Areal [cm^2]	Regresjon Høyre sporposisjon [cm]	Regresjon Høyre spordybde [mm]	Regresjon Venstre sporposisjon [cm]	Regresjon Venstre spordybde [mm]	Regresjon Max sporposisjon [cm]	Regresjon Max spordybde [mm]	Regresjon Sporbredde [cm]	Regresjon Tverrfall [%]	Regresjon Areal [cm^2]	Metode Høyre sporposisjon [cm]	Metode Høyre spordybde [mm]	Metode Venstre sporposisjon [cm]	Metode Venstre spordybde [mm]	Metode Max sporposisjon [cm]	Metode Max spordybde [mm]	Metode Sporbredde [cm]	Metode Tverrfall [%]	Metode Areal [cm^2]	
11,0	1	10,0	1	11,0	21,2	163,0	-0,1	2000	NaN	NaN	C	895	63,1	70,1	56	59,3613837	24,7164654	6620645,52	1051091,73	-80,3	307,1	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	81,9	19,3	-80,3	21,2	-80,3	21,2	163,0	-0,1	307,1	81,3	19,2	-80,0	19,2	-5,0	19,2	161,7	0,1	137,3	79,6	20,6	-80,3	22,2	-80,3	22,2	160,6	0,1	354,2	75,3	46,2	-74,4	46,6	-179,6	0,0	148,0	0,1	0,0	79,6	10,5	-80,3	12,6	179,5	23,2	160,2	-0,1	224,7	81,9	19,3	-80,3	21,2	-80,3	21,2	163,0	-0,1	307,1	
12,0	1	11,0	1	12,0	21,5	160,2	0,0	2000	NaN	NaN	C	950	63,1	70,1	56	59,3613764	24,7164601	6620644,67	1051091,55	-80,7	305,9	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	79,9	19,9	-80,7	21,5	-80,7	21,5	160,2	0,0	305,9	80,0	19,5	-80,6	19,5	-3,3	19,5	161,3	0,2	136,4	79,9	21,5	-80,6	22,8	-80,6	22,8	159,9	0,2	343,8	72,6	47,1	-75,7	47,2	-179,6	0,0	148,0	0,2	0,0	79,9	10,8	-80,6	13,0	179,4	23,6	160,2	0,0	230,5	79,9	19,9	-80,7	21,5	-80,7	21,5	160,2	0,0	305,9	
13,0	1	12,0	1	13,0	21,3	160,2	-0,1	2000	NaN	NaN	C	1013	63,1	70,1	55	59,3613670	24,7164532	6620643,57	1051091,31	-79,7	309,0	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	80,6	20,0	-80,3	21,3	-79,7	21,3	160,2	-0,1	309,0	80,6	19,0	-80,3	19,0	-5,7	19,0	159,6	0,1	128,3	80,6	21,9	-80,3	22,9	-79,7	22,9	159,6	0,1	368,6	73,2	46,9	-75,7	47,9	-179,6	0,0	149,0	0,1	0,0	79,8	10,7	-80,3	12,8	179,0	24,4	158,8	-0,1	233,5	80,6	20,0	-80,3	21,3	-79,7	21,3	160,2	-0,1	309,0	
14,0	1	13,0	1	14,0	21,7	160,5	-0,1	2000	NaN	NaN	C	1068	63,1	70,1	56	59,3613586	24,7164471	6620642,59	1051091,10	-81,0	313,1	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	78,3	19,8	-81,7	21,7	-81,0	21,7	160,5	-0,1	313,1	78,3	19,7	-81,3	19,7	-2,1	19,7	160,2	0,1	134,2	78,3	21,3	-81,7	22,8	-81,0	23,2	160,5	0,1	357,0	72,9	47,4	-76,4	48,1	-179,5	0,0	148,9	0,1	0,0	77,9	10,7	-81,7	13,0	178,9	23,8	160,2	-0,1	229,4	78,3	19,8	-81,7	21,7	-81,0	21,7	160,5	-0,1	313,1	
15,0	1	14,0	1	15,0	20,9	163,1	-0,1	2000	NaN	NaN	C	1124	63,2	70,2	56	59,3613502	24,7164409	6620641,61	1051090,89	-2,8	320,7	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	78,5	20,0	-83,7	20,5	-2,8	20,9	163,1	-0,1	320,7	77,5	18,6	-83,1	18,6	-5,1	18,6	161,5	0,0	137,6	77,5	21,7	-83,1	22,2	74,8	22,3	160,5	0,0	368,9	71,2	47,8	-76,0	47,0	-179,6	0,0	147,6	0,0	0,0	76,6	10,3	-83,4	11,9	179,5	24,0	159,8	-0,1	226,7	78,5	20,0	-83,7	20,5	-2,8	20,9	163,1	-0,1	320,7	
16,0	1	15,0	1	16,0	21,7	160,7	-0,2	2000	NaN	NaN	C	1180	63,2	70,2	55	59,3613429	24,7164355	6620640,76	1051090,71	-80,9	326,5	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	78,3	20,3	-82,8	21,6	-80,9	21,7	160,7	-0,2	326,5	77,8	19,2	-80,5	19,2	-6,2	19,2	158,1	-0,1	129,0	77,8	22,4	-81,1	23,8	-79,8	23,9	159,1	-0,1	389,8	71,3	48,6	-76,3	48,4	-179,7	0,0	148,4	-0,1	0,0	76,5	10,7	-81,1	13,0	179,4	25,9	158,7	-0,2	229,3	78,3	20,3	-82,8	21,6	-80,9	21,7	160,7	-0,2	326,5	
17,0	1	16,0	1	17,0	21,5	163,0	-0,2	2000	NaN	NaN	C	1242	63,2	70,2	56	59,3613335	24,7164286	6620639,66	1051090,47	-81,8	324,0	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	78,6	20,5	-84,5	21,5	-81,8	21,5	163,0	-0,2	324,0	78,0	19,0	-81,3	19,0	-3,3	19,0	159,7	-0,1	134,2	78,0	22,8	-81,9	23,5	-81,1	23,5	159,7	-0,1	390,6	70,0	48,6	-75,2	47,5	-179,3	0,0	146,5	-0,1	0,0	78,0	10,9	-81,9	12,6	179,3	25,0	159,7	-0,2	234,2	78,6	20,5	-84,5	21,5	-81,8	21,5	163,0	-0,2	324,0	
18,0	1	17,0	1	18,0	22,2	162,5	-0,2	2000	NaN	NaN	C	1291	63,2	70,2	56	59,3613261	24,7164232	6620638,80	1051090,29	-82,6	334,6	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	77,2	21,3	-83,9	21,4	-82,6	22,2	162,5	-0,2	334,6	76,6	19,2	-82,0	19,2	-5,7	19,2	158,4	-0,1	125,7	76,0	23,6	-82,5	24,1	-81,3	24,6	157,2	-0,1	406,9	71,2	49,8	-77,8	48,9	-179,7	0,0	148,7	-0,1	0,0	76,0	11,1	-82,5	13,0	179,3	26,6	157,2	-0,2	238,6	77,2	21,3	-83,9	21,4	-82,6	22,2	162,5	-0,2	334,6	
19,0	1	18,0	1	19,0	21,5	162,5	-0,3	2000	NaN	NaN	C	1353	63,2	70,2	56	59,3613167	24,7164163	6620637,70	1051090,05	-81,8	324,2	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	77,3	20,7	-84,6	21,2	-81,8	21,5	162,5	-0,3	324,2	77,3	19,2	-83,9	19,2	-5,7	19,2	161,2	-0,2	132,6	77,3	23,0	-83,9	23,5	-81,8	23,6	161,2	-0,2	395,2	72,1	49,0	-77,8	47,4	-179,8	0,0	148,7	-0,2	0,0	76,0	11,0	-84,0	12,6	179,6	25,7	161,2	-0,3	235,1	77,3	20,7	-84,6	21,2	-81,8	21,5	162,5	-0,3	324,2	
20,0	1	19,0	1	20,0	21,0	159,7	-0,3	2000	NaN	NaN	C	1409	63,3	70,2	56	59,3613083	24,7164102	6620636,72	1051089,84	-82,3	314,5	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	76,0	20,6	-83,5	20,8	-82,3	21,0	159,7	-0,3	314,5	76,0	18,8	-82,9	18,8	-5,1	18,8	158,2	-0,2	128,0	76,0	22,7	-82,9	22,7	-82,3	23,0	158,2	-0,2	382,0	70,1	48,6	-75,6	46,0	-179,4	0,0	147,1	-0,2	0,0	75,8	11,1	-82,9	12,0	179,3	24,6	157,9	-0,3	228,1	76,0	20,6	-83,5	20,8	-82,3	21,0	159,7	-0,3	314,5	
21,0	1	20,0	1	21,0	20,8	160,0	-0,3	2000	NaN	NaN	C	1464	63,3	70,2	56	59,3613009	24,7164049	6620635,86	1051089,66	-84,2	318,1	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	75,8	20,1	-84,9	20,8	-84,2	20,8	160,0	-0,3	318,1	74,7	18,3	-83,6	18,3	-5,4	18,3	158,3	-0,3	123,9	74,7	22,8	-83,6	23,0	-83,0	23,2	158,3	-0,3	392,5	68,8	48,5	-76,3	45,6	-179,4	0,0	146,4	-0,3	0,0	74,7	10,9	-83,9	11,8	179,5	24,5	158,3	-0,3	228,9	75,8	20,1	-84,9	20,8	-84,2	20,8	160,0	-0,3	318,1	
22,0	1	21,0	1	22,0	21,1	160,6	-0,4	2000	NaN	NaN	C	1520	63,3	70,2	56	59,3612925	24,7163988	6620634,88	1051089,45	-82,0	311,2	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	76,7	19,3	-82,7	20,9	-82,0	21,1	160,6	-0,4	311,2	76,3	18,3	-82,0	18,3	-6,3	18,3	159,6	-0,3	126,1	75,7	21,5	-82,0	23,1	-82,0	23,1	159,5	-0,3	375,2	69,1	47,4	-76,3	46,2	-179,4	0,0	146,4	-0,3	0,0	75,7	10,5	-82,0	12,3	179,3	24,1	159,2	-0,4	228,1	76,7	19,3	-82,7	20,9	-82,0	21,1	160,6	-0,4	311,2	
23,0	1	22,0	1	23,0	21,9	162,6	-0,4	2000	NaN	NaN	C	1582	63,3	70,2	56	59,3612830	24,7163919	6620633,77	1051089,22	-84,0	314,6	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	77,9	19,4	-84,0	21,9	-84,0	21,9	162,6	-0,4	314,6	77,9	18,6	-84,0	18,6	-6,2	18,6	160,6	-0,2	136,4	76,1	21,5	-84,0	23,9	-84,0	23,9	160,0	-0,2	378,2	70,1	46,6	-79,8	45,6	-179,4	0,0	149,8	-0,2	0,0	76,1	10,5	-84,0	12,7	179,2	24,1	160,0	-0,4	226,9	77,9	19,4	-84,0	21,9	-84,0	21,9	162,6	-0,4	314,6	
24,0	1	23,0	1	24,0	20,9	162,3	-0,5	2000	NaN	NaN	C	1637	63,4	70,2	56	59,3612746	24,7163858	6620632,79	1051089,01	-85,1	309,2	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	76,4	19,7	-85,1	20,9	-85,1	20,9	162,3	-0,5	309,2	75,9	18,9	-82,7	18,9	-9,5	18,9	159,2	-0,4	130,6	75,9	21,3	-82,7	22,5	-82,7	22,5	159,2	-0,4	359,4	71,0	46,5	-77,6	45,0	-179,5	0,0	148,3	-0,4	0,0	75,9	10,6	-83,8	12,4	179,3	23,8	160,2	-0,5	226,0	76,4	19,7	-85,1	20,9	-85,1	20,9	162,3	-0,5	309,2	
25,0	1	24,0	1	25,0	21,4	162,2	-0,6	2000	NaN	NaN	C	1692	63,4	70,2	56	59,3612672	24,7163804	6620631,93	1051088,83	-86,3	301,2	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	75,0	19,7	-86,3	21,4	-86,3	21,4	162,2	-0,6	301,2	75,0	18,9	-85,0	18,9	-8,1	18,9	161,9	-0,5	131,3	75,0	21,1	-85,3	22,9	-85,3	22,9	161,9	-0,5	352,4	70,0	46,7	-78,5	45,0	-179,4	0,0	148,3	-0,5	0,0	75,0	10,8	-85,3	12,7	179,5	23,4	161,9	-0,6	222,4	75,0	19,7	-86,3	21,4	-86,3	21,4	162,2	-0,6	301,2	
