ViaPPS produsert fil	: Filversjon 1.21
F.ID.	: Rosita_NO_001
ViaPPS software versjon	: 8.9.12.1

Rapportdato				: 26.03.2026 13:24:47
Filnavn					: PPS_Fy01_1_1_m00000-1_m00901_felt1___20260313-145014.txt
Mappe					: D:\ViaPPS_RBS\RAW_DATA\Fy001_1_hp1_f1_20260313-145014

ViaPPS opptakerversjon	: 8.5.6.0 - 01.06.2016 13:21:02

Sjåfør					: Egon
Bilnummer				: 
UtstyrsID				: VIATECH
Utstyrsmerknader		: 
Opptaksdato				: 13.03.2026 14:50:14
Formål					: 
Måleserienummer					: 1
Målingskommentarer		: 
Målingslengde			: 901
Værkommentarer			: 
Teksturlaserposisjon	: Y

Beregningsintervall [m]	: 1
Rettholt venstre [m]	: Bunnrettholt : -1,8[m]  Snorholt : -1,8[m]  Regresjonsholt : -1,8[m]
Rettholt høyre [m]		: Bunnrettholt :  1,8[m]  Snorholt :  1,8[m]  Regresjonsholt :  1,8[m]
Filter orden [punkter]	: 11
Profil snittlengde [m]	: 0,0
Metodefil versjon/dato	: Ikke tilgjengelig
Beregningskommentaer	: Beregningstype=CEN_13036_8, Midlingsalgoritme=ChebyshevFilter, AntallMidledeProfiler=1, Rettholtlengdetype=Fast lengde, Sporryggdeteksjon=Av
Kalibreringsdata	: Kalib.dato=19. juni 2025 09:11:30, Pulser=1203,835000, Rull=0,000000, Stamp=-0,033432, ScannerRull=-0,006738
Tverrfallskalibreringsdata	: 13. mars 2026 14:35:31
Sensormontasjedata1	: Imu=-1,60[m], ProfileScanner=-3,60[m], TeksturLaser=2,26[m]
Sensormontasjedata2	: GnssDx=-1,92[m], GnssDy=-0,28[m], GnssDz=-2,29[m]
Sensormontasjedata3	: GnssImuDx=-0,03[m], GnssImuDy=0,33[m], GnssImuDz=1,51[m]

Vegnett fylkesversjon			: 
Vegnett serverversjon			: 
Vegnett genereringsappliksajonsversjon	: 

Startposisjon:
Fylke			: 1
Veg				: 1
Strekning		: 1
Vegmeter		: 0
Kjørefelt		: 1
Stedsnavn		: 

Stopposisjon:
Fylke			: 1
Veg				: 1
Strekning		: 1
Vegmeter		: 901,104582542458
Kjørefelt		: 1
Stedsnavn		: 

Vegnettnoder
Nodenr	: Lengde [m]	: Fylke []	: Stedsnavn []	: Vegnavn []	: Hp []	: Fra Vegmeter [m]	: Til Vegmeter [m]	: 
Node0	: 900	: 1	: 	: 1	: 1	: -1	: 902

Justeringsnoder
Justeringnr	: Distanse [m]	: Justering [m]

Utkjørt meter [m]	Fra strekning []	Fra vegmeter [m]	Til strekning []	Til vegmeter [m]	Spordybde [mm]	Sporbredde [cm]	Tverrfall [%]	Kurveradius [m]	IRI [mm/m]	MPD [mm]	Beregningsmetode []	Tid [ms]	Hastighet [km/t]	Høyde [m]	Signalkvalitet [%]	Breddegrad [°]	Lengdegrad [°]	Sone 33V N [m]	Sone 33V Ø [m]	Sporposisjon [cm]	Areal [cm^2]	Pause []	Pos. asfalt kant [cm]	Pos. kantlinje [cm]	Type kantlinje []	Kval. kantlinje [%]	Pos. midtlinje [cm]	Type midtlinje []	Kval. midtlinje [%]	Pos. ekstra midtlinje [cm]	Type ekstra midtlinje []	Kval. ekstra midtlinje [%]	CEN 13036 Høyre sporposisjon [cm]	CEN 13036 Høyre spordybde [mm]	CEN 13036 Venstre sporposisjon [cm]	CEN 13036 Venstre spordybde [mm]	CEN 13036 Max sporposisjon [cm]	CEN 13036 Max spordybde [mm]	CEN 13036 Sporbredde [cm]	CEN 13036 Tverrfall [%]	CEN 13036 Areal [cm^2]	Bunn Høyre sporposisjon [cm]	Bunn Høyre spordybde [mm]	Bunn Venstre sporposisjon [cm]	Bunn Venstre spordybde [mm]	Bunn Max sporposisjon [cm]	Bunn Max spordybde [mm]	Bunn Sporbredde [cm]	Bunn Tverrfall [%]	Bunn Areal [cm^2]	Snor Høyre sporposisjon [cm]	Snor Høyre spordybde [mm]	Snor Venstre sporposisjon [cm]	Snor Venstre spordybde [mm]	Snor Max sporposisjon [cm]	Snor Max spordybde [mm]	Snor Sporbredde [cm]	Snor Tverrfall [%]	Snor Areal [cm^2]	Krum Høyre sporposisjon [cm]	Krum Høyre spordybde [mm]	Krum Venstre sporposisjon [cm]	Krum Venstre spordybde [mm]	Krum Max sporposisjon [cm]	Krum Max spordybde [mm]	Krum Sporbredde [cm]	Krum Tverrfall [%]	Krum Areal [cm^2]	Regresjon Høyre sporposisjon [cm]	Regresjon Høyre spordybde [mm]	Regresjon Venstre sporposisjon [cm]	Regresjon Venstre spordybde [mm]	Regresjon Max sporposisjon [cm]	Regresjon Max spordybde [mm]	Regresjon Sporbredde [cm]	Regresjon Tverrfall [%]	Regresjon Areal [cm^2]	Metode Høyre sporposisjon [cm]	Metode Høyre spordybde [mm]	Metode Venstre sporposisjon [cm]	Metode Venstre spordybde [mm]	Metode Max sporposisjon [cm]	Metode Max spordybde [mm]	Metode Sporbredde [cm]	Metode Tverrfall [%]	Metode Areal [cm^2]	
249,0	1	248,0	1	249,0	21,6	163,1	-2,0	2000	NaN	NaN	C	15016	64,0	69,3	56	59,3594016	24,7150216	6620414,34	1051042,51	-88,8	339,5	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	70,2	20,5	-92,6	21,5	-88,8	21,6	163,1	-2,0	339,5	69,5	18,4	-91,5	18,4	-13,4	18,4	161,1	-1,9	136,4	69,5	23,5	-91,5	24,6	-88,8	24,6	161,1	-1,9	426,1	63,7	51,3	-84,7	49,0	-179,5	0,0	148,9	-1,9	0,0	69,5	10,9	-91,5	11,8	179,1	24,9	161,1	-2,0	227,6	70,2	20,5	-92,6	21,5	-88,8	21,6	163,1	-2,0	339,5	
250,0	1	249,0	1	250,0	22,0	163,4	-2,0	2000	NaN	NaN	C	15073	64,1	69,3	56	59,3593931	24,7150153	6620413,35	1051042,29	-92,1	341,3	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	70,8	20,1	-92,1	22,0	-92,1	22,0	163,4	-2,0	341,3	70,8	18,7	-91,5	18,7	-11,3	18,7	161,7	-1,9	138,7	69,6	23,1	-91,5	24,9	-91,1	25,0	160,0	-1,9	436,9	64,1	50,7	-84,8	49,3	-179,5	0,0	149,0	-1,9	0,0	69,6	10,9	-91,5	11,9	-179,3	25,4	160,0	-2,0	229,3	70,8	20,1	-92,1	22,0	-92,1	22,0	163,4	-2,0	341,3	
251,0	1	250,0	1	251,0	22,4	159,0	-1,9	2000	NaN	NaN	C	15130	64,2	69,3	56	59,3593846	24,7150090	6620412,35	1051042,08	-90,8	340,8	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	68,0	20,7	-90,8	22,4	-90,8	22,4	159,0	-1,9	340,8	67,3	19,0	-90,1	19,0	-13,1	19,0	158,6	-1,9	132,8	67,3	23,7	-90,5	25,2	-90,5	25,2	158,6	-1,9	427,8	63,4	51,7	-85,9	49,8	-179,4	0,0	148,9	-1,9	0,0	67,3	11,5	-90,1	12,5	-178,4	25,7	158,6	-1,9	239,7	68,0	20,7	-90,8	22,4	-90,8	22,4	159,0	-1,9	340,8	
252,0	1	251,0	1	252,0	22,6	163,0	-1,9	2000	NaN	NaN	C	15187	64,2	69,3	56	59,3593761	24,7150028	6620411,36	1051041,86	-7,3	338,4	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	72,1	22,2	-91,1	22,0	-7,3	22,6	163,0	-1,9	338,4	71,8	20,3	-89,6	20,3	-11,9	20,3	161,1	-1,9	142,7	71,8	24,4	-89,6	24,4	68,2	24,9	161,1	-1,9	413,8	66,3	51,7	-84,7	48,8	-179,5	0,0	151,2	-1,9	0,0	71,8	12,5	-89,6	12,5	176,2	25,2	161,1	-1,9	237,4	72,1	22,2	-91,1	22,0	-7,3	22,6	163,0	-1,9	338,4	
253,0	1	252,0	1	253,0	23,5	165,0	-2,0	2000	NaN	NaN	C	15244	64,3	69,3	56	59,3593676	24,7149965	6620410,36	1051041,65	71,2	353,0	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	72,8	23,4	-92,5	22,3	71,2	23,5	165,0	-2,0	353,0	72,1	20,4	-92,1	20,4	-16,3	20,4	164,2	-2,0	147,4	72,1	26,3	-92,1	25,2	70,5	26,3	164,2	-2,0	444,0	67,2	53,4	-85,9	49,2	-179,5	0,0	153,1	-2,0	0,0	72,1	13,0	-92,1	12,8	179,5	27,0	164,2	-2,0	252,6	72,8	23,4	-92,5	22,3	71,2	23,5	165,0	-2,0	353,0	
254,0	1	253,0	1	254,0	22,7	161,3	-2,0	2000	NaN	NaN	C	15301	64,3	69,3	56	59,3593590	24,7149903	6620409,37	1051041,43	-91,3	347,5	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	69,5	22,0	-91,6	22,6	-91,3	22,7	161,3	-2,0	347,5	69,4	20,3	-91,6	20,3	-13,3	20,3	161,3	-1,9	145,0	69,1	24,5	-91,6	24,9	-9,8	24,9	161,0	-1,9	422,5	64,5	52,0	-86,5	48,9	-179,2	0,0	151,4	-1,9	0,0	69,1	12,2	-91,6	12,9	179,5	25,8	161,0	-2,0	243,3	69,5	22,0	-91,6	22,6	-91,3	22,7	161,3	-2,0	347,5	
255,0	1	254,0	1	255,0	23,4	162,0	-1,9	2000	NaN	NaN	C	15351	64,3	69,3	56	59,3593516	24,7149849	6620408,50	1051041,25	-92,7	353,9	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	69,5	21,6	-92,7	23,4	-92,7	23,4	162,0	-1,9	353,9	67,6	20,9	-91,3	20,9	-10,4	20,9	159,4	-1,8	151,8	67,6	23,8	-91,9	24,7	-90,7	24,7	159,4	-1,8	412,3	64,1	51,7	-85,1	48,8	-179,2	0,0	148,8	-1,8	0,0	67,6	11,3	-91,9	13,1	179,1	25,7	159,4	-1,9	247,8	69,5	21,6	-92,7	23,4	-92,7	23,4	162,0	-1,9	353,9	
256,0	1	255,0	1	256,0	22,9	161,3	-2,1	2000	NaN	NaN	C	15416	64,3	69,3	55	59,3593420	24,7149779	6620407,38	1051041,01	-92,0	340,9	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	68,8	21,4	-93,1	22,8	-92,0	22,9	161,3	-2,1	340,9	68,8	20,2	-92,1	20,2	-13,9	20,2	160,9	-2,0	144,0	68,1	23,6	-92,1	25,0	-91,9	25,1	160,9	-2,0	409,7	63,0	51,0	-87,1	48,6	-179,3	0,0	150,9	-2,0	0,0	68,1	11,6	-92,1	13,0	179,7	25,5	160,9	-2,1	239,9	68,8	21,4	-93,1	22,8	-92,0	22,9	161,3	-2,1	340,9	
257,0	1	256,0	1	257,0	22,7	160,9	-2,2	2000	NaN	NaN	C	15473	64,4	69,3	56	59,3593334	24,7149716	6620406,38	1051040,80	-93,0	344,7	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	68,2	21,7	-93,0	22,7	-93,0	22,7	160,9	-2,2	344,7	68,1	20,3	-92,3	20,3	-13,4	20,3	160,5	-2,2	142,8	67,8	24,2	-92,6	24,8	-92,6	24,8	160,1	-2,2	426,8	63,3	52,1	-86,5	48,8	-179,3	0,0	149,8	-2,2	0,0	67,8	11,9	-92,7	13,0	179,1	25,4	160,1	-2,2	246,2	68,2	21,7	-93,0	22,7	-93,0	22,7	160,9	-2,2	344,7	
258,0	1	257,0	1	258,0	23,1	163,4	-2,2	2000	NaN	NaN	C	15523	64,4	69,3	56	59,3593260	24,7149662	6620405,51	1051040,61	-92,1	345,9	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	70,8	21,4	-92,7	23,1	-92,1	23,1	163,4	-2,2	345,9	68,2	19,9	-90,6	19,9	-13,9	19,9	160,9	-2,1	140,4	68,9	24,2	-92,1	25,2	-90,6	25,5	160,9	-2,1	430,0	63,1	51,9	-87,1	48,7	-179,4	0,0	151,5	-2,1	0,0	67,0	11,7	-92,1	13,1	179,4	25,6	159,4	-2,2	246,7	70,8	21,4	-92,7	23,1	-92,1	23,1	163,4	-2,2	345,9	
259,0	1	258,0	1	259,0	22,4	160,3	-2,2	2000	NaN	NaN	C	15574	64,4	69,3	56	59,3593185	24,7149607	6620404,64	1051040,42	-92,0	333,9	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	67,7	20,0	-92,0	22,4	-92,0	22,4	160,3	-2,2	333,9	67,6	19,5	-89,3	19,5	-13,3	19,5	157,5	-2,1	135,9	65,7	22,4	-91,2	24,4	-90,0	24,4	157,0	-2,1	398,4	61,8	50,5	-85,2	48,4	-179,3	0,0	146,9	-2,1	0,0	67,6	11,1	-91,2	12,8	-168,2	24,7	158,2	-2,2	234,3	67,7	20,0	-92,0	22,4	-92,0	22,4	160,3	-2,2	333,9	
260,0	1	259,0	1	260,0	22,1	161,7	-2,3	2000	NaN	NaN	C	15638	64,4	69,3	56	59,3593088	24,7149537	6620403,51	1051040,18	-92,7	324,3	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	69,5	20,1	-92,8	22,1	-92,7	22,1	161,7	-2,3	324,3	68,2	19,6	-90,6	19,6	-13,3	19,6	158,9	-2,2	134,9	67,6	22,4	-92,7	23,8	-92,7	24,1	160,8	-2,2	396,7	64,4	50,0	-87,2	47,6	-179,4	0,0	151,8	-2,2	0,0	67,6	10,9	-92,1	12,7	-170,5	24,7	160,8	-2,3	227,6	69,5	20,1	-92,8	22,1	-92,7	22,1	161,7	-2,3	324,3	
261,0	1	260,0	1	261,0	21,5	162,7	-2,3	2000	NaN	NaN	C	15688	64,4	69,3	56	59,3593014	24,7149482	6620402,64	1051040,00	-92,7	331,5	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	69,4	20,8	-92,8	21,4	-92,7	21,5	162,7	-2,3	331,5	67,1	19,1	-91,3	19,1	-13,3	19,1	159,7	-2,3	133,4	67,1	23,0	-91,3	23,4	-90,6	23,4	159,7	-2,3	396,1	62,5	50,7	-85,9	47,5	-179,5	0,0	148,9	-2,3	0,0	67,1	11,2	-91,3	12,0	179,2	23,8	159,7	-2,3	229,3	69,4	20,8	-92,8	21,4	-92,7	21,5	162,7	-2,3	331,5	
262,0	1	261,0	1	262,0	21,6	161,0	-2,2	2000	NaN	NaN	C	15746	64,5	69,3	56	59,3592928	24,7149419	6620401,64	1051039,78	-92,7	335,9	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	69,1	20,0	-93,3	21,6	-92,7	21,6	161,0	-2,2	335,9	68,5	18,9	-92,7	18,9	-13,1	18,9	159,7	-2,1	133,9	66,9	22,7	-92,7	24,0	-92,7	24,2	159,7	-2,1	418,8	62,7	50,7	-86,9	48,2	-179,6	0,0	150,3	-2,1	0,0	66,9	10,7	-92,7	11,9	-176,5	24,5	159,7	-2,2	225,0	69,1	20,0	-93,3	21,6	-92,7	21,6	161,0	-2,2	335,9	
263,0	1	262,0	1	263,0	21,0	161,9	-2,2	2000	NaN	NaN	C	15803	64,6	69,3	56	59,3592842	24,7149356	6620400,64	1051039,57	-92,0	328,7	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	69,6	20,4	-92,7	20,7	-92,0	21,0	161,9	-2,2	328,7	67,9	18,5	-92,6	18,5	-13,0	18,5	160,9	-2,2	128,8	67,9	23,0	-92,6	23,4	-92,0	23,8	160,9	-2,2	412,0	64,7	50,8	-87,5	47,5	-179,4	0,0	151,5	-2,2	0,0	67,9	11,4	-92,6	11,6	178,8	24,1	160,9	-2,2	224,7	69,6	20,4	-92,7	20,7	-92,0	21,0	161,9	-2,2	328,7	
264,0	1	263,0	1	264,0	21,5	161,2	-2,1	2000	NaN	NaN	C	15860	64,6	69,3	56	59,3592756	24,7149293	6620399,64	1051039,35	-90,6	324,6	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	69,3	20,1	-92,0	21,4	-90,6	21,5	161,2	-2,1	324,6	69,3	18,9	-92,0	18,9	-10,9	18,9	161,2	-2,0	134,4	69,3	22,0	-92,0	23,3	-90,3	23,4	161,2	-2,0	385,5	63,8	49,7	-85,8	47,4	-179,5	0,0	149,2	-2,0	0,0	69,3	10,6	-92,0	12,1	179,2	23,8	161,2	-2,1	224,4	69,3	20,1	-92,0	21,4	-90,6	21,5	161,2	-2,1	324,6	
265,0	1	264,0	1	265,0	20,4	161,6	-2,0	2000	NaN	NaN	C	15910	64,6	69,4	56	59,3592681	24,7149238	6620398,76	1051039,16	-90,6	315,2	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	70,2	20,0	-91,4	19,9	-90,6	20,4	161,6	-2,0	315,2	70,2	18,5	-91,3	18,5	-9,8	18,5	161,6	-2,0	134,8	70,2	21,9	-91,3	21,8	-89,4	22,5	161,6	-2,0	374,8	63,7	49,4	-85,7	45,6	-179,5	0,0	150,3	-2,0	0,0	70,2	11,0	-91,3	11,2	178,5	22,9	161,6	-2,0	220,1	70,2	20,0	-91,4	19,9	-90,6	20,4	161,6	-2,0	315,2	
266,0	1	265,0	1	266,0	19,9	161,5	-2,0	2000	NaN	NaN	C	15967	64,7	69,4	56	59,3592595	24,7149175	6620397,76	1051038,95	-91,5	308,8	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	67,2	19,6	-92,4	19,8	-91,5	19,9	161,5	-2,0	308,8	66,0	18,4	-91,0	18,4	-13,1	18,4	158,0	-1,9	125,4	67,2	21,2	-91,0	21,3	-90,4	21,3	158,6	-1,9	361,8	63,0	49,0	-85,8	45,4	-179,8	0,0	148,2	-1,9	0,0	66,0	10,8	-91,0	11,2	179,1	22,1	158,0	-2,0	219,7	67,2	19,6	-92,4	19,8	-91,5	19,9	161,5	-2,0	308,8	
267,0	1	266,0	1	267,0	20,2	162,9	-2,0	2000	NaN	NaN	C	16032	64,7	69,4	56	59,3592499	24,7149105	6620396,63	1051038,71	69,6	310,1	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	70,3	20,2	-92,7	19,8	69,6	20,2	162,9	-2,0	310,1	70,3	18,5	-91,4	18,5	-13,3	18,5	162,2	-2,0	136,1	70,3	22,0	-91,4	21,6	69,6	22,1	162,2	-2,0	372,3	63,2	49,2	-86,5	45,2	-179,8	0,0	149,7	-2,0	0,0	70,3	11,2	-91,4	11,1	178,1	22,9	162,2	-2,0	220,9	70,3	20,2	-92,7	19,8	69,6	20,2	162,9	-2,0	310,1	
268,0	1	267,0	1	268,0	20,8	159,7	-1,8	2000	NaN	NaN	C	16081	64,7	69,4	56	59,3592423	24,7149050	6620395,75	1051038,52	67,0	313,9	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	67,6	20,8	-92,2	20,6	67,0	20,8	159,7	-1,8	313,9	67,1	19,4	-91,5	19,4	-13,3	19,4	158,9	-1,8	133,4	67,1	22,2	-91,5	21,8	67,0	22,2	159,2	-1,8	360,3	65,1	49,8	-86,6	45,6	-179,6	0,0	150,3	-1,8	0,0	67,1	11,8	-92,2	11,6	178,6	22,6	159,2	-1,8	225,8	67,6	20,8	-92,2	20,6	67,0	20,8	159,7	-1,8	313,9	
269,0	1	268,0	1	269,0	20,7	162,0	-1,9	2000	NaN	NaN	C	16138	64,8	69,4	56	59,3592337	24,7148987	6620394,75	1051038,30	-92,5	315,3	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	68,6	20,5	-93,1	20,6	-92,5	20,7	162,0	-1,9	315,3	68,0	19,2	-93,1	19,2	-13,0	19,2	161,2	-1,9	140,2	68,6	22,0	-93,1	22,2	-12,2	22,2	162,0	-1,9	362,1	63,1	49,4	-86,2	45,7	-179,6	0,0	149,9	-1,9	0,0	68,0	11,5	-93,1	11,7	177,3	22,5	161,2	-1,9	225,9	68,6	20,5	-93,1	20,6	-92,5	20,7	162,0	-1,9	315,3	
270,0	1	269,0	1	270,0	20,7	162,3	-1,9	2000	NaN	NaN	C	16188	64,8	69,4	56	59,3592262	24,7148932	6620393,87	1051038,12	-91,4	313,5	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	69,7	20,3	-92,6	20,5	-91,4	20,7	162,3	-1,9	313,5	69,7	19,2	-92,6	19,2	-15,7	19,2	162,3	-1,9	139,3	69,7	21,7	-92,0	21,7	-90,7	22,1	161,7	-1,9	365,6	64,3	49,5	-87,7	45,4	-179,5	0,0	151,0	-1,9	0,0	69,7	11,3	-92,6	11,5	176,3	22,3	162,3	-1,9	223,5	69,7	20,3	-92,6	20,5	-91,4	20,7	162,3	-1,9	313,5	
271,0	1	270,0	1	271,0	20,5	163,2	-1,9	2000	NaN	NaN	C	16245	64,8	69,4	56	59,3592176	24,7148869	6620392,87	1051037,90	-93,6	311,2	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	69,2	20,1	-93,8	20,4	-93,6	20,5	163,2	-1,9	311,2	67,6	18,5	-92,7	18,5	-13,6	18,5	159,6	-1,9	132,8	67,6	22,0	-92,7	22,2	-11,9	22,4	159,6	-1,9	374,3	62,4	49,4	-88,6	46,0	-179,6	0,0	150,6	-1,9	0,0	67,6	11,2	-92,7	11,6	173,7	22,7	159,6	-1,9	226,0	69,2	20,1	-93,8	20,4	-93,6	20,5	163,2	-1,9	311,2	
272,0	1	271,0	1	272,0	21,1	161,7	-1,9	2000	NaN	NaN	C	16301	64,8	69,4	56	59,3592090	24,7148806	6620391,86	1051037,69	-93,1	315,4	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	67,9	20,7	-94,1	21,0	-93,1	21,1	161,7	-1,9	315,4	67,9	19,6	-93,8	19,6	-15,1	19,6	161,4	-1,9	139,3	67,9	22,4	-93,8	22,4	-92,3	22,6	161,7	-1,9	370,0	62,4	50,2	-89,5	45,9	-179,6	0,0	151,5	-1,9	0,0	67,6	11,6	-93,8	12,0	179,2	23,0	161,7	-1,9	231,8	67,9	20,7	-94,1	21,0	-93,1	21,1	161,7	-1,9	315,4	
273,0	1	272,0	1	273,0	21,4	161,2	-2,0	2000	NaN	NaN	C	16358	64,9	69,4	56	59,3592004	24,7148744	6620390,86	1051037,47	-91,0	323,3	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	68,0	20,5	-93,9	21,0	-91,0	21,4	161,2	-2,0	323,3	66,9	19,2	-92,9	19,2	-13,3	19,2	160,9	-2,0	136,6	66,9	22,6	-92,0	22,7	-11,8	23,2	160,3	-2,0	382,9	61,4	50,2	-88,1	46,4	-179,5	0,0	149,8	-2,0	0,0	66,9	11,6	-92,9	11,9	175,6	23,3	160,9	-2,0	231,8	68,0	20,5	-93,9	21,0	-91,0	21,4	161,2	-2,0	323,3	
274,0	1	273,0	1	274,0	20,7	160,3	-2,1	2000	NaN	NaN	C	16414	64,9	69,4	56	59,3591918	24,7148681	6620389,85	1051037,26	-13,4	316,6	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	67,2	20,3	-93,0	20,4	-13,4	20,7	160,3	-2,1	316,6	67,2	18,7	-92,3	18,7	-16,0	18,7	159,5	-2,1	132,5	67,2	22,6	-92,3	22,4	-13,4	22,7	159,5	-2,1	386,9	63,1	50,4	-87,6	46,2	-179,5	0,0	150,2	-2,1	0,0	67,2	11,5	-92,3	11,4	2,3	23,0	159,5	-2,1	226,2	67,2	20,3	-93,0	20,4	-13,4	20,7	160,3	-2,1	316,6	
275,0	1	274,0	1	275,0	21,4	161,1	-2,0	2000	NaN	NaN	C	16464	65,0	69,4	56	59,3591842	24,7148625	6620388,97	1051037,07	-92,8	325,1	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	66,9	20,8	-94,0	21,2	-92,8	21,4	161,1	-2,0	325,1	66,9	19,3	-94,0	19,3	-16,3	19,3	161,1	-2,0	140,2	66,9	22,8	-94,0	23,0	-92,8	23,3	161,1	-2,0	388,4	61,1	50,9	-86,0	47,0	-179,7	0,0	147,0	-2,0	0,0	66,9	11,6	-94,0	11,9	-173,9	23,4	161,1	-2,0	232,7	66,9	20,8	-94,0	21,2	-92,8	21,4	161,1	-2,0	325,1	
276,0	1	275,0	1	276,0	21,5	160,3	-1,9	2000	NaN	NaN	C	16520	65,0	69,4	56	59,3591756	24,7148562	6620387,96	1051036,85	-92,7	330,8	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	67,3	20,9	-92,7	21,5	-92,7	21,5	160,3	-1,9	330,8	66,9	19,7	-92,3	19,7	-13,3	19,7	159,3	-1,9	141,5	66,9	22,7	-92,3	23,1	-91,0	23,1	159,3	-1,9	383,2	61,8	50,5	-86,2	46,9	-179,6	0,0	148,7	-1,9	0,0	66,9	11,5	-92,3	11,8	174,2	23,3	159,3	-1,9	235,8	67,3	20,9	-92,7	21,5	-92,7	21,5	160,3	-1,9	330,8	
277,0	1	276,0	1	277,0	22,4	161,0	-2,0	2000	NaN	NaN	C	16577	65,1	69,4	56	59,3591669	24,7148499	6620386,96	1051036,64	-14,2	333,1	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	67,3	21,4	-93,4	21,6	-14,2	22,4	161,0	-2,0	333,1	66,9	20,3	-93,0	20,3	-11,2	20,3	160,0	-1,9	150,0	65,9	22,7	-93,1	23,1	-14,2	23,5	159,5	-1,9	370,9	60,9	50,7	-86,8	46,9	-179,7	0,0	148,3	-1,9	0,0	65,9	12,0	-93,1	12,3	177,9	24,1	159,5	-2,0	239,2	67,3	21,4	-93,4	21,6	-14,2	22,4	161,0	-2,0	333,1	
278,0	1	277,0	1	278,0	22,0	160,3	-1,8	2000	NaN	NaN	C	16633	65,2	69,4	56	59,3591583	24,7148436	6620385,95	1051036,42	64,4	331,8	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	66,9	21,9	-94,0	20,9	64,4	22,0	160,3	-1,8	331,8	66,0	20,1	-93,7	20,1	-13,9	20,1	160,0	-1,8	144,5	65,7	23,5	-93,7	22,4	64,4	23,7	159,7	-1,8	378,8	60,2	51,7	-88,2	46,0	-179,6	0,0	147,3	-1,8	0,0	65,3	12,0	-93,7	11,8	179,3	24,4	158,8	-1,8	235,0	66,9	21,9	-94,0	20,9	64,4	22,0	160,3	-1,8	331,8	
279,0	1	278,0	1	279,0	22,7	159,4	-1,8	2000	NaN	NaN	C	16690	65,2	69,4	56	59,3591496	24,7148373	6620384,94	1051036,21	66,2	346,1	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	66,2	22,7	-95,0	20,0	66,2	22,7	159,4	-1,8	346,1	64,6	19,4	-95,0	19,4	-13,9	19,4	158,4	-1,9	138,6	65,6	25,3	-92,8	22,3	65,6	25,3	158,3	-1,9	423,2	62,4	53,2	-87,5	46,1	-179,6	0,0	148,9	-1,9	0,0	65,3	12,4	-94,0	10,9	179,6	26,4	158,4	-1,8	238,6	66,2	22,7	-95,0	20,0	66,2	22,7	159,4	-1,8	346,1	
280,0	1	279,0	1	280,0	22,6	162,2	-1,9	2000	NaN	NaN	C	16746	65,2	69,4	56	59,3591420	24,7148318	6620384,05	1051036,02	68,5	341,0	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	68,5	22,6	-93,9	19,8	68,5	22,6	162,2	-1,9	341,0	65,0	19,0	-93,6	19,0	-16,9	19,0	158,4	-2,0	133,9	67,6	25,2	-92,1	22,1	67,6	25,2	160,5	-2,0	421,2	62,7	53,3	-87,1	46,1	-179,5	0,0	150,5	-2,0	0,0	65,0	12,4	-93,5	10,8	179,8	26,1	158,4	-1,9	240,1	68,5	22,6	-93,9	19,8	68,5	22,6	162,2	-1,9	341,0	
