ViaPPS produsert fil	: Filversjon 1.21
F.ID.	: Rosita_NO_001
ViaPPS software versjon	: 8.9.12.1

Rapportdato				: 26.03.2026 13:24:47
Filnavn					: PPS_Fy01_93_1_m99999-1_m99098_felt2___20260313-150110.txt
Mappe					: D:\ViaPPS_RBS\RAW_DATA\Fy001_93_hp1_f2_20260313-150110

ViaPPS opptakerversjon	: 8.5.6.0 - 01.06.2016 13:21:02

Sjåfør					: Egon
Bilnummer				: 
UtstyrsID				: VIATECH
Utstyrsmerknader		: 
Opptaksdato				: 13.03.2026 15:01:10
Formål					: 
Måleserienummer					: 1
Målingskommentarer		: 
Målingslengde			: 900
Værkommentarer			: 
Teksturlaserposisjon	: Y

Beregningsintervall [m]	: 1
Rettholt venstre [m]	: Bunnrettholt : -1,8[m]  Snorholt : -1,8[m]  Regresjonsholt : -1,8[m]
Rettholt høyre [m]		: Bunnrettholt :  1,8[m]  Snorholt :  1,8[m]  Regresjonsholt :  1,8[m]
Filter orden [punkter]	: 11
Profil snittlengde [m]	: 0,0
Metodefil versjon/dato	: Ikke tilgjengelig
Beregningskommentaer	: Beregningstype=CEN_13036_8, Midlingsalgoritme=ChebyshevFilter, AntallMidledeProfiler=1, Rettholtlengdetype=Fast lengde, Sporryggdeteksjon=Av
Kalibreringsdata	: Kalib.dato=19. juni 2025 09:11:30, Pulser=1203,835000, Rull=0,000000, Stamp=-0,033432, ScannerRull=-0,006738
Tverrfallskalibreringsdata	: 13. mars 2026 14:35:31
Sensormontasjedata1	: Imu=-1,60[m], ProfileScanner=-3,60[m], TeksturLaser=2,26[m]
Sensormontasjedata2	: GnssDx=-1,92[m], GnssDy=-0,28[m], GnssDz=-2,29[m]
Sensormontasjedata3	: GnssImuDx=-0,03[m], GnssImuDy=0,33[m], GnssImuDz=1,51[m]

Vegnett fylkesversjon			: 
Vegnett serverversjon			: 
Vegnett genereringsappliksajonsversjon	: 

Startposisjon:
Fylke			: 1
Veg				: 93
Strekning		: 1
Vegmeter		: 99999
Kjørefelt		: 2
Stedsnavn		: 

Stopposisjon:
Fylke			: 1
Veg				: 93
Strekning		: 1
Vegmeter		: 99098,7448540896
Kjørefelt		: 2
Stedsnavn		: 

Vegnettnoder
Nodenr	: Lengde [m]	: Fylke []	: Stedsnavn []	: Vegnavn []	: Hp []	: Fra Vegmeter [m]	: Til Vegmeter [m]	: 
Node0	: 901	: 1	: 	: 93	: 1	: 99098	: 100000

Justeringsnoder
Justeringnr	: Distanse [m]	: Justering [m]

Utkjørt meter [m]	Fra strekning []	Fra vegmeter [m]	Til strekning []	Til vegmeter [m]	Spordybde [mm]	Sporbredde [cm]	Tverrfall [%]	Kurveradius [m]	IRI [mm/m]	MPD [mm]	Beregningsmetode []	Tid [ms]	Hastighet [km/t]	Høyde [m]	Signalkvalitet [%]	Breddegrad [°]	Lengdegrad [°]	Sone 33V N [m]	Sone 33V Ø [m]	Sporposisjon [cm]	Areal [cm^2]	Pause []	Pos. asfalt kant [cm]	Pos. kantlinje [cm]	Type kantlinje []	Kval. kantlinje [%]	Pos. midtlinje [cm]	Type midtlinje []	Kval. midtlinje [%]	Pos. ekstra midtlinje [cm]	Type ekstra midtlinje []	Kval. ekstra midtlinje [%]	CEN 13036 Høyre sporposisjon [cm]	CEN 13036 Høyre spordybde [mm]	CEN 13036 Venstre sporposisjon [cm]	CEN 13036 Venstre spordybde [mm]	CEN 13036 Max sporposisjon [cm]	CEN 13036 Max spordybde [mm]	CEN 13036 Sporbredde [cm]	CEN 13036 Tverrfall [%]	CEN 13036 Areal [cm^2]	Bunn Høyre sporposisjon [cm]	Bunn Høyre spordybde [mm]	Bunn Venstre sporposisjon [cm]	Bunn Venstre spordybde [mm]	Bunn Max sporposisjon [cm]	Bunn Max spordybde [mm]	Bunn Sporbredde [cm]	Bunn Tverrfall [%]	Bunn Areal [cm^2]	Snor Høyre sporposisjon [cm]	Snor Høyre spordybde [mm]	Snor Venstre sporposisjon [cm]	Snor Venstre spordybde [mm]	Snor Max sporposisjon [cm]	Snor Max spordybde [mm]	Snor Sporbredde [cm]	Snor Tverrfall [%]	Snor Areal [cm^2]	Krum Høyre sporposisjon [cm]	Krum Høyre spordybde [mm]	Krum Venstre sporposisjon [cm]	Krum Venstre spordybde [mm]	Krum Max sporposisjon [cm]	Krum Max spordybde [mm]	Krum Sporbredde [cm]	Krum Tverrfall [%]	Krum Areal [cm^2]	Regresjon Høyre sporposisjon [cm]	Regresjon Høyre spordybde [mm]	Regresjon Venstre sporposisjon [cm]	Regresjon Venstre spordybde [mm]	Regresjon Max sporposisjon [cm]	Regresjon Max spordybde [mm]	Regresjon Sporbredde [cm]	Regresjon Tverrfall [%]	Regresjon Areal [cm^2]	Metode Høyre sporposisjon [cm]	Metode Høyre spordybde [mm]	Metode Venstre sporposisjon [cm]	Metode Venstre spordybde [mm]	Metode Max sporposisjon [cm]	Metode Max spordybde [mm]	Metode Sporbredde [cm]	Metode Tverrfall [%]	Metode Areal [cm^2]	
11,0	1	99989,0	1	99988,0	22,0	159,7	-1,7	2000	NaN	NaN	C	70	72,0	71,7	57	59,3542112	24,7113688	6619810,02	1050920,79	72,8	326,0	False	NaN	156,0	_	67	NaN	_	NaN	NaN	_	NaN	72,8	22,0	-86,9	19,6	72,8	22,0	159,7	-1,7	326,0	68,9	20,1	-86,9	20,1	-18,1	20,1	155,8	-1,7	140,6	72,8	22,6	-86,9	20,2	72,8	22,6	159,7	-1,7	345,5	62,5	48,4	-82,1	44,3	-179,3	0,0	144,6	-1,7	0,0	71,5	12,0	-86,9	10,9	160,3	23,3	158,4	-1,7	232,7	72,8	22,0	-86,9	19,6	72,8	22,0	159,7	-1,7	326,0	
12,0	1	99988,0	1	99987,0	22,2	158,4	-1,8	2000	NaN	NaN	C	76	72,0	71,7	56	59,3542124	24,7113696	6619810,16	1050920,82	69,6	340,8	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	69,6	22,2	-88,8	20,5	69,6	22,2	158,4	-1,8	340,8	69,0	20,5	-88,8	20,5	-8,1	20,5	157,8	-1,9	150,1	69,0	23,2	-88,8	21,5	69,0	23,2	157,8	-1,9	371,5	63,1	49,4	-84,1	45,9	-179,5	0,0	147,2	-1,9	0,0	69,0	12,1	-88,8	11,2	161,4	23,7	157,8	-1,8	236,0	69,6	22,2	-88,8	20,5	69,6	22,2	158,4	-1,8	340,8	
13,0	1	99987,0	1	99986,0	22,7	155,1	-1,9	2000	NaN	NaN	C	83	72,0	71,7	56	59,3542136	24,7113705	6619810,30	1050920,85	67,7	339,0	False	NaN	154,2	_	64	NaN	_	NaN	NaN	_	NaN	67,7	22,7	-87,4	19,3	67,7	22,7	155,1	-1,9	339,0	67,7	20,2	-88,0	20,2	-19,3	20,2	155,7	-2,0	145,6	67,7	23,5	-87,4	20,1	67,7	23,5	155,1	-2,0	363,2	61,8	49,3	-77,3	44,5	-179,5	0,0	139,1	-2,0	0,0	67,7	12,3	-87,4	10,3	160,6	24,3	155,1	-1,9	238,7	67,7	22,7	-87,4	19,3	67,7	22,7	155,1	-1,9	339,0	
14,0	1	99986,0	1	99985,0	23,7	160,4	-2,2	2000	NaN	NaN	C	90	72,0	71,7	56	59,3542148	24,7113713	6619810,44	1050920,88	71,7	358,5	False	NaN	155,1	_	67	NaN	_	NaN	NaN	_	NaN	71,7	23,7	-88,7	20,8	71,7	23,7	160,4	-2,2	358,5	65,7	21,0	-88,7	21,0	-15,7	21,0	154,4	-2,3	144,8	71,7	24,9	-88,7	22,1	71,7	24,9	160,4	-2,3	398,3	62,6	51,8	-81,9	46,5	-179,6	0,0	144,5	-2,3	0,0	65,7	12,7	-88,7	11,4	163,6	25,8	154,4	-2,2	254,5	71,7	23,7	-88,7	20,8	71,7	23,7	160,4	-2,2	358,5	
15,0	1	99985,0	1	99984,0	23,5	157,1	-2,0	2000	NaN	NaN	C	97	72,0	71,7	57	59,3542160	24,7113722	6619810,58	1050920,91	68,4	343,1	False	NaN	155,1	_	68	NaN	_	NaN	NaN	_	NaN	68,4	23,5	-88,7	20,1	68,4	23,5	157,1	-2,0	343,1	68,4	22,0	-90,8	22,0	-12,2	22,0	159,2	-2,1	163,8	68,4	23,5	-88,7	20,1	68,4	23,5	157,1	-2,1	343,2	63,2	49,2	-83,4	43,5	-179,2	0,0	146,6	-2,1	0,0	68,4	12,7	-88,7	11,2	161,7	24,4	157,1	-2,0	240,0	68,4	23,5	-88,7	20,1	68,4	23,5	157,1	-2,0	343,1	
16,0	1	99984,0	1	99983,0	22,6	159,8	-1,9	2000	NaN	NaN	C	104	72,0	71,7	57	59,3542172	24,7113730	6619810,72	1050920,94	69,6	345,9	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	69,6	22,6	-90,2	20,2	69,6	22,6	159,8	-1,9	345,9	67,0	21,1	-90,2	21,1	-15,1	21,1	157,2	-1,9	157,5	69,6	22,8	-90,2	20,4	69,6	22,8	159,8	-1,9	352,4	62,5	48,8	-84,7	44,2	-179,6	0,0	147,1	-1,9	0,0	69,6	12,0	-90,2	11,0	161,5	23,7	159,8	-1,9	233,8	69,6	22,6	-90,2	20,2	69,6	22,6	159,8	-1,9	345,9	
17,0	1	99983,0	1	99982,0	23,0	159,7	-1,8	2000	NaN	NaN	C	111	72,0	71,7	57	59,3542185	24,7113739	6619810,86	1050920,97	72,2	320,7	False	NaN	155,1	_	66	NaN	_	NaN	NaN	_	NaN	72,2	23,0	-87,5	18,8	72,2	23,0	159,7	-1,8	320,7	72,2	20,3	-87,5	20,3	-12,2	20,3	159,7	-1,9	142,4	72,2	23,5	-87,5	19,3	72,2	23,5	159,7	-1,9	336,0	71,6	48,1	-79,4	43,2	-179,8	0,0	150,9	-1,9	0,0	72,2	12,7	-87,5	10,8	160,3	24,7	159,7	-1,8	233,6	72,2	23,0	-87,5	18,8	72,2	23,0	159,7	-1,8	320,7	
18,0	1	99982,0	1	99981,0	23,2	160,6	-1,9	2000	NaN	NaN	C	118	72,0	71,7	56	59,3542197	24,7113747	6619811,00	1050920,99	69,7	340,6	False	NaN	155,1	_	67	NaN	_	NaN	NaN	_	NaN	69,7	23,2	-90,9	18,9	69,7	23,2	160,6	-1,9	340,6	66,3	20,0	-90,9	20,0	-14,5	20,0	157,2	-2,1	141,7	69,0	24,2	-90,9	19,9	69,0	24,2	159,9	-2,1	372,8	65,7	49,7	-82,0	43,9	-179,2	0,0	147,7	-2,1	0,0	66,3	12,5	-90,9	10,2	161,4	25,3	157,2	-1,9	238,3	69,7	23,2	-90,9	18,9	69,7	23,2	160,6	-1,9	340,6	
19,0	1	99981,0	1	99980,0	22,7	162,9	-2,0	2000	NaN	NaN	C	125	72,0	71,7	56	59,3542209	24,7113756	6619811,14	1050921,02	74,9	336,7	False	NaN	154,2	_	66	NaN	_	NaN	NaN	_	NaN	74,9	22,7	-88,1	19,6	74,9	22,7	162,9	-2,0	336,7	70,9	20,6	-88,1	20,6	-18,1	20,6	159,0	-2,1	153,8	74,9	23,0	-88,1	20,0	74,9	23,0	162,9	-2,1	348,7	61,2	47,8	-78,6	43,7	-179,4	0,0	139,9	-2,1	0,0	70,9	12,2	-88,1	10,6	159,7	23,8	159,0	-2,0	232,0	74,9	22,7	-88,1	19,6	74,9	22,7	162,9	-2,0	336,7	
20,0	1	99980,0	1	99979,0	23,8	165,7	-2,4	2000	NaN	NaN	C	132	72,0	71,7	56	59,3542221	24,7113764	6619811,28	1050921,05	73,7	338,9	False	NaN	154,7	_	66	NaN	_	NaN	NaN	_	NaN	73,7	23,8	-92,0	18,6	73,7	23,8	165,7	-2,4	338,9	67,2	20,6	-94,1	20,6	-17,5	20,6	161,2	-2,6	157,3	67,7	24,3	-92,0	19,0	67,7	24,3	159,7	-2,6	353,7	66,5	51,1	-80,5	43,3	-179,6	0,0	147,0	-2,6	0,0	67,2	13,2	-92,0	9,9	161,8	25,4	159,1	-2,4	241,5	73,7	23,8	-92,0	18,6	73,7	23,8	165,7	-2,4	338,9	
21,0	1	99979,0	1	99978,0	23,8	158,4	-2,1	2000	NaN	NaN	C	139	72,0	71,7	56	59,3542233	24,7113773	6619811,42	1050921,08	70,3	335,0	False	NaN	155,5	_	66	NaN	_	NaN	NaN	_	NaN	70,3	23,8	-88,1	18,8	70,3	23,8	158,4	-2,1	335,0	70,3	21,3	-88,1	21,3	-12,2	21,3	158,4	-2,2	156,2	70,3	23,8	-88,1	18,8	70,3	23,8	158,4	-2,2	335,1	67,1	49,1	-82,0	42,5	-179,3	0,0	149,1	-2,2	0,0	70,3	12,9	-88,1	10,4	160,7	25,1	158,4	-2,1	235,4	70,3	23,8	-88,1	18,8	70,3	23,8	158,4	-2,1	335,0	
22,0	1	99978,0	1	99977,0	23,9	156,5	-1,9	2000	NaN	NaN	C	146	72,0	71,7	57	59,3542245	24,7113781	6619811,56	1050921,11	68,3	335,6	False	NaN	155,1	_	66	NaN	_	NaN	NaN	_	NaN	68,3	23,9	-88,2	19,0	68,3	23,9	156,5	-1,9	335,6	67,7	21,3	-88,2	21,3	-15,7	21,3	155,9	-2,1	151,1	68,3	23,9	-88,2	19,0	68,3	23,9	156,5	-2,1	335,7	63,7	49,7	-80,0	43,3	-179,5	0,0	143,8	-2,1	0,0	68,3	13,3	-88,2	10,4	161,3	25,1	156,5	-1,9	237,7	68,3	23,9	-88,2	19,0	68,3	23,9	156,5	-1,9	335,6	
23,0	1	99977,0	1	99976,0	22,5	153,8	-1,8	2000	NaN	NaN	C	153	72,0	71,7	57	59,3542257	24,7113790	6619811,70	1050921,14	67,6	319,6	False	NaN	155,6	_	67	NaN	_	NaN	NaN	_	NaN	67,6	22,5	-86,1	19,2	67,6	22,5	153,8	-1,8	319,6	67,0	20,0	-88,1	20,0	-21,1	20,0	155,0	-1,9	132,5	67,6	23,1	-86,1	19,8	67,6	23,1	153,8	-1,9	339,1	63,7	48,5	-82,1	43,9	-179,7	0,0	145,8	-1,9	0,0	67,6	12,4	-86,1	11,0	160,4	24,1	153,8	-1,8	231,4	67,6	22,5	-86,1	19,2	67,6	22,5	153,8	-1,8	319,6	
24,0	1	99976,0	1	99975,0	22,3	157,1	-2,0	2000	NaN	NaN	C	160	72,0	71,7	56	59,3542269	24,7113798	6619811,84	1050921,17	70,3	338,7	False	NaN	155,1	_	66	NaN	_	NaN	NaN	_	NaN	70,3	22,3	-86,8	19,7	70,3	22,3	157,1	-2,0	338,7	70,3	20,1	-86,8	20,1	-17,5	20,1	157,1	-2,1	146,5	70,3	23,1	-86,8	20,7	70,3	23,1	157,1	-2,1	367,1	60,5	49,6	-86,0	44,9	-179,3	0,0	146,5	-2,1	0,0	70,3	12,0	-86,8	10,6	159,4	23,8	157,1	-2,0	239,2	70,3	22,3	-86,8	19,7	70,3	22,3	157,1	-2,0	338,7	
25,0	1	99975,0	1	99974,0	23,6	159,7	-2,0	2000	NaN	NaN	C	167	72,0	71,7	56	59,3542281	24,7113807	6619811,98	1050921,19	74,3	336,6	False	NaN	153,3	_	64	NaN	_	NaN	NaN	_	NaN	74,3	23,6	-85,5	19,2	74,3	23,6	159,7	-2,0	336,6	74,3	20,7	-90,7	20,7	-18,1	20,7	165,0	-2,2	164,1	74,3	24,0	-85,5	19,6	74,3	24,0	159,7	-2,2	349,1	69,7	49,0	-82,0	44,0	-179,3	0,0	151,6	-2,2	0,0	74,3	13,1	-85,5	10,3	160,6	24,8	159,7	-2,0	236,5	74,3	23,6	-85,5	19,2	74,3	23,6	159,7	-2,0	336,6	
