ViaPPS produsert fil	: Filversjon 1.21
F.ID.	: Rosita_NO_001
ViaPPS software versjon	: 8.9.12.1

Rapportdato				: 26.03.2026 13:24:47
Filnavn					: PPS_Fy01_93_1_m99999-1_m99099_felt2___20260313-145715.txt
Mappe					: D:\ViaPPS_RBS\RAW_DATA\Fy001_93_hp1_f2_20260313-145715

ViaPPS opptakerversjon	: 8.5.6.0 - 01.06.2016 13:21:02

Sjåfør					: Egon
Bilnummer				: 
UtstyrsID				: VIATECH
Utstyrsmerknader		: 
Opptaksdato				: 13.03.2026 14:57:15
Formål					: 
Måleserienummer					: 1
Målingskommentarer		: 
Målingslengde			: 899
Værkommentarer			: 
Teksturlaserposisjon	: Y

Beregningsintervall [m]	: 1
Rettholt venstre [m]	: Bunnrettholt : -1,8[m]  Snorholt : -1,8[m]  Regresjonsholt : -1,8[m]
Rettholt høyre [m]		: Bunnrettholt :  1,8[m]  Snorholt :  1,8[m]  Regresjonsholt :  1,8[m]
Filter orden [punkter]	: 11
Profil snittlengde [m]	: 0,0
Metodefil versjon/dato	: Ikke tilgjengelig
Beregningskommentaer	: Beregningstype=CEN_13036_8, Midlingsalgoritme=ChebyshevFilter, AntallMidledeProfiler=1, Rettholtlengdetype=Fast lengde, Sporryggdeteksjon=Av
Kalibreringsdata	: Kalib.dato=19. juni 2025 09:11:30, Pulser=1203,835000, Rull=0,000000, Stamp=-0,033432, ScannerRull=-0,006738
Tverrfallskalibreringsdata	: 13. mars 2026 14:35:31
Sensormontasjedata1	: Imu=-1,60[m], ProfileScanner=-3,60[m], TeksturLaser=2,26[m]
Sensormontasjedata2	: GnssDx=-1,92[m], GnssDy=-0,28[m], GnssDz=-2,29[m]
Sensormontasjedata3	: GnssImuDx=-0,03[m], GnssImuDy=0,33[m], GnssImuDz=1,51[m]

Vegnett fylkesversjon			: 
Vegnett serverversjon			: 
Vegnett genereringsappliksajonsversjon	: 

Startposisjon:
Fylke			: 1
Veg				: 93
Strekning		: 1
Vegmeter		: 99999
Kjørefelt		: 2
Stedsnavn		: 

Stopposisjon:
Fylke			: 1
Veg				: 93
Strekning		: 1
Vegmeter		: 99099,9405956182
Kjørefelt		: 2
Stedsnavn		: 

Vegnettnoder
Nodenr	: Lengde [m]	: Fylke []	: Stedsnavn []	: Vegnavn []	: Hp []	: Fra Vegmeter [m]	: Til Vegmeter [m]	: 
Node0	: 900	: 1	: 	: 93	: 1	: 99099	: 100000

Justeringsnoder
Justeringnr	: Distanse [m]	: Justering [m]

Utkjørt meter [m]	Fra strekning []	Fra vegmeter [m]	Til strekning []	Til vegmeter [m]	Spordybde [mm]	Sporbredde [cm]	Tverrfall [%]	Kurveradius [m]	IRI [mm/m]	MPD [mm]	Beregningsmetode []	Tid [ms]	Hastighet [km/t]	Høyde [m]	Signalkvalitet [%]	Breddegrad [°]	Lengdegrad [°]	Sone 33V N [m]	Sone 33V Ø [m]	Sporposisjon [cm]	Areal [cm^2]	Pause []	Pos. asfalt kant [cm]	Pos. kantlinje [cm]	Type kantlinje []	Kval. kantlinje [%]	Pos. midtlinje [cm]	Type midtlinje []	Kval. midtlinje [%]	Pos. ekstra midtlinje [cm]	Type ekstra midtlinje []	Kval. ekstra midtlinje [%]	CEN 13036 Høyre sporposisjon [cm]	CEN 13036 Høyre spordybde [mm]	CEN 13036 Venstre sporposisjon [cm]	CEN 13036 Venstre spordybde [mm]	CEN 13036 Max sporposisjon [cm]	CEN 13036 Max spordybde [mm]	CEN 13036 Sporbredde [cm]	CEN 13036 Tverrfall [%]	CEN 13036 Areal [cm^2]	Bunn Høyre sporposisjon [cm]	Bunn Høyre spordybde [mm]	Bunn Venstre sporposisjon [cm]	Bunn Venstre spordybde [mm]	Bunn Max sporposisjon [cm]	Bunn Max spordybde [mm]	Bunn Sporbredde [cm]	Bunn Tverrfall [%]	Bunn Areal [cm^2]	Snor Høyre sporposisjon [cm]	Snor Høyre spordybde [mm]	Snor Venstre sporposisjon [cm]	Snor Venstre spordybde [mm]	Snor Max sporposisjon [cm]	Snor Max spordybde [mm]	Snor Sporbredde [cm]	Snor Tverrfall [%]	Snor Areal [cm^2]	Krum Høyre sporposisjon [cm]	Krum Høyre spordybde [mm]	Krum Venstre sporposisjon [cm]	Krum Venstre spordybde [mm]	Krum Max sporposisjon [cm]	Krum Max spordybde [mm]	Krum Sporbredde [cm]	Krum Tverrfall [%]	Krum Areal [cm^2]	Regresjon Høyre sporposisjon [cm]	Regresjon Høyre spordybde [mm]	Regresjon Venstre sporposisjon [cm]	Regresjon Venstre spordybde [mm]	Regresjon Max sporposisjon [cm]	Regresjon Max spordybde [mm]	Regresjon Sporbredde [cm]	Regresjon Tverrfall [%]	Regresjon Areal [cm^2]	Metode Høyre sporposisjon [cm]	Metode Høyre spordybde [mm]	Metode Venstre sporposisjon [cm]	Metode Venstre spordybde [mm]	Metode Max sporposisjon [cm]	Metode Max spordybde [mm]	Metode Sporbredde [cm]	Metode Tverrfall [%]	Metode Areal [cm^2]	
11,0	1	99989,0	1	99988,0	22,4	157,1	-1,9	2000	NaN	NaN	C	49	74,9	71,8	57	59,3542278	24,7113864	6619811,99	1050921,52	73,6	324,9	False	NaN	159,0	_	67	NaN	_	NaN	NaN	_	NaN	73,6	22,4	-83,5	19,1	73,6	22,4	157,1	-1,9	324,9	73,6	20,3	-83,5	20,3	-16,3	20,3	157,1	-2,0	144,3	73,6	22,6	-83,5	19,4	73,6	22,6	157,1	-2,0	332,4	71,6	48,3	-81,4	44,3	-179,7	0,0	152,9	-2,0	0,0	73,6	12,1	-83,5	10,9	163,7	23,7	157,1	-1,9	226,6	73,6	22,4	-83,5	19,1	73,6	22,4	157,1	-1,9	324,9	
12,0	1	99988,0	1	99987,0	24,4	158,9	-2,0	2000	NaN	NaN	C	56	74,9	71,8	56	59,3542278	24,7113864	6619811,99	1050921,52	74,9	335,1	False	NaN	158,5	_	66	NaN	_	NaN	NaN	_	NaN	74,9	24,4	-84,0	19,0	74,9	24,4	158,9	-2,0	335,1	74,9	21,0	-84,0	21,0	-12,1	21,0	158,9	-2,2	152,9	74,9	24,8	-84,0	19,5	74,9	24,8	158,9	-2,2	350,6	70,9	49,7	-73,4	44,7	-179,5	0,0	144,3	-2,2	0,0	74,9	13,7	-84,0	10,5	165,8	26,0	158,9	-2,0	241,7	74,9	24,4	-84,0	19,0	74,9	24,4	158,9	-2,0	335,1	
13,0	1	99987,0	1	99986,0	23,3	159,6	-2,1	2000	NaN	NaN	C	63	74,9	71,8	56	59,3542290	24,7113873	6619812,14	1050921,55	73,0	336,4	False	NaN	157,7	_	65	NaN	_	NaN	NaN	_	NaN	73,0	23,3	-86,6	19,3	73,0	23,3	159,6	-2,1	336,4	73,0	20,8	-87,4	20,8	-14,5	20,8	160,5	-2,2	156,3	73,0	23,6	-83,4	19,6	73,0	23,6	156,4	-2,2	346,5	69,0	49,3	-77,2	44,3	-179,5	0,0	146,2	-2,2	0,0	73,0	12,6	-86,6	10,7	164,0	24,9	159,6	-2,1	235,1	73,0	23,3	-86,6	19,3	73,0	23,3	159,6	-2,1	336,4	
14,0	1	99986,0	1	99985,0	24,4	166,3	-2,4	2000	NaN	NaN	C	70	74,9	71,8	56	59,3542303	24,7113882	6619812,28	1050921,58	77,7	338,7	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	77,7	24,4	-88,6	18,4	77,7	24,4	166,3	-2,4	338,7	73,6	19,8	-88,6	19,8	-11,6	19,8	162,3	-2,6	143,3	74,4	25,9	-84,6	20,0	74,4	25,9	158,9	-2,6	388,0	73,6	51,5	-80,6	45,0	-179,8	0,0	154,2	-2,6	0,0	73,6	13,5	-88,6	10,1	166,8	27,3	162,3	-2,4	239,6	77,7	24,4	-88,6	18,4	77,7	24,4	166,3	-2,4	338,7	
15,0	1	99985,0	1	99984,0	22,6	161,5	-2,2	2000	NaN	NaN	C	76	74,9	71,8	57	59,3542315	24,7113891	6619812,43	1050921,61	76,1	316,1	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	76,1	22,6	-85,4	17,8	76,1	22,6	161,5	-2,2	316,1	74,3	19,8	-85,4	19,8	-13,9	19,8	159,7	-2,3	144,7	76,1	22,8	-85,4	17,9	76,1	22,8	161,5	-2,3	320,6	71,0	47,9	-75,3	42,7	-179,6	0,0	146,2	-2,3	0,0	76,1	12,4	-85,4	9,8	161,2	23,9	161,5	-2,2	225,6	76,1	22,6	-85,4	17,8	76,1	22,6	161,5	-2,2	316,1	
16,0	1	99984,0	1	99983,0	23,0	163,6	-1,9	2000	NaN	NaN	C	83	74,9	71,8	56	59,3542328	24,7113899	6619812,57	1050921,64	80,9	330,7	False	NaN	159,4	_	65	NaN	_	NaN	NaN	_	NaN	80,9	23,0	-82,7	18,6	80,9	23,0	163,6	-1,9	330,7	76,9	20,0	-84,1	20,0	-12,7	20,0	161,0	-2,1	151,6	80,9	23,6	-82,7	19,3	80,9	23,6	163,6	-2,1	350,1	69,6	48,2	-79,4	43,9	-179,7	0,0	149,0	-2,1	0,0	76,9	12,3	-83,4	10,3	167,8	24,8	160,3	-1,9	232,4	80,9	23,0	-82,7	18,6	80,9	23,0	163,6	-1,9	330,7	
17,0	1	99983,0	1	99982,0	22,1	163,5	-1,8	2000	NaN	NaN	C	90	74,9	71,8	57	59,3542340	24,7113908	6619812,72	1050921,67	78,0	317,8	False	NaN	158,5	_	66	NaN	_	NaN	NaN	_	NaN	78,0	22,1	-85,5	18,7	78,0	22,1	163,5	-1,8	317,8	78,0	20,0	-87,6	20,0	-12,7	20,0	165,7	-1,9	154,9	78,0	22,2	-82,1	18,9	78,0	22,2	160,1	-1,9	323,9	71,5	47,5	-78,6	43,7	-179,9	0,0	150,1	-1,9	0,0	78,0	12,0	-85,5	10,6	167,4	23,3	163,5	-1,8	227,4	78,0	22,1	-85,5	18,7	78,0	22,1	163,5	-1,8	317,8	
18,0	1	99982,0	1	99981,0	22,8	167,1	-2,1	2000	NaN	NaN	C	97	74,9	71,8	57	59,3542353	24,7113917	6619812,86	1050921,70	80,3	320,6	False	NaN	158,5	_	66	NaN	_	NaN	NaN	_	NaN	80,3	22,8	-86,8	19,4	80,3	22,8	167,1	-2,1	320,6	80,3	19,7	-86,8	19,7	-12,1	19,7	167,1	-2,2	149,7	80,3	23,9	-86,8	20,6	80,3	23,9	167,1	-2,2	358,6	72,9	47,9	-78,7	44,7	-179,4	0,0	151,6	-2,2	0,0	80,3	12,6	-86,8	11,1	163,9	24,7	167,1	-2,1	236,5	80,3	22,8	-86,8	19,4	80,3	22,8	167,1	-2,1	320,6	
19,0	1	99981,0	1	99980,0	23,4	164,2	-2,2	2000	NaN	NaN	C	104	74,9	71,8	56	59,3542365	24,7113926	6619813,01	1050921,73	77,6	330,9	False	NaN	157,6	_	64	NaN	_	NaN	NaN	_	NaN	77,6	23,4	-86,6	18,5	77,6	23,4	164,2	-2,2	330,9	77,6	20,4	-87,4	20,4	-8,6	20,4	165,0	-2,3	158,6	77,6	24,0	-86,6	19,1	77,6	24,0	164,2	-2,3	348,4	72,3	48,9	-73,4	44,3	-179,3	0,0	145,7	-2,3	0,0	77,6	12,8	-86,6	10,2	164,0	25,1	164,2	-2,2	234,1	77,6	23,4	-86,6	18,5	77,6	23,4	164,2	-2,2	330,9	
20,0	1	99980,0	1	99979,0	24,8	163,4	-2,5	2000	NaN	NaN	C	111	74,9	71,8	56	59,3542377	24,7113935	6619813,16	1050921,76	77,6	357,2	False	NaN	158,1	_	66	NaN	_	NaN	NaN	_	NaN	77,6	24,8	-85,8	19,5	77,6	24,8	163,4	-2,5	357,2	75,1	21,6	-85,8	21,6	-13,3	21,6	160,9	-2,7	165,3	77,6	25,1	-85,8	19,7	77,6	25,1	163,4	-2,7	365,7	72,3	50,0	-78,0	43,8	-180,0	0,0	150,3	-2,7	0,0	77,6	13,3	-85,8	10,4	166,2	26,3	163,4	-2,5	240,8	77,6	24,8	-85,8	19,5	77,6	24,8	163,4	-2,5	357,2	
21,0	1	99979,0	1	99978,0	22,9	161,5	-2,3	2000	NaN	NaN	C	118	74,9	71,8	57	59,3542390	24,7113944	6619813,30	1050921,79	77,6	316,6	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	77,6	22,9	-83,9	18,1	77,6	22,9	161,5	-2,3	316,6	76,3	20,7	-83,9	20,7	-9,2	20,7	160,2	-2,5	153,3	77,6	22,9	-83,9	18,1	77,6	22,9	161,5	-2,5	316,7	71,7	47,9	-76,0	42,0	-179,6	0,0	147,7	-2,5	0,0	76,3	12,5	-83,9	10,3	170,0	23,9	160,2	-2,3	229,6	77,6	22,9	-83,9	18,1	77,6	22,9	161,5	-2,3	316,6	
22,0	1	99978,0	1	99977,0	22,8	161,1	-2,1	2000	NaN	NaN	C	125	74,9	71,8	56	59,3542402	24,7113953	6619813,45	1050921,82	77,6	326,1	False	NaN	158,5	_	66	NaN	_	NaN	NaN	_	NaN	77,6	22,8	-83,5	18,9	77,6	22,8	161,1	-2,1	326,1	71,5	20,0	-83,5	20,0	-8,0	20,0	155,0	-2,2	133,6	76,8	23,5	-83,5	19,8	76,8	23,5	160,3	-2,2	352,7	71,5	49,6	-74,8	45,1	-179,7	0,0	146,3	-2,2	0,0	76,8	12,6	-83,5	10,4	166,6	24,4	160,3	-2,1	229,9	77,6	22,8	-83,5	18,9	77,6	22,8	161,1	-2,1	326,1	
23,0	1	99977,0	1	99976,0	22,7	163,1	-2,0	2000	NaN	NaN	C	132	74,9	71,8	57	59,3542415	24,7113962	6619813,59	1050921,85	80,9	327,1	False	NaN	159,0	_	65	NaN	_	NaN	NaN	_	NaN	80,9	22,7	-82,3	18,4	80,9	22,7	163,1	-2,0	327,1	76,1	20,4	-82,9	20,4	-13,3	20,4	159,0	-2,1	149,1	80,9	22,7	-82,3	18,4	80,9	22,7	163,1	-2,1	327,2	74,1	47,1	-78,7	43,3	-179,1	0,0	152,8	-2,1	0,0	80,9	12,2	-82,9	10,1	163,7	23,7	163,8	-2,0	221,9	80,9	22,7	-82,3	18,4	80,9	22,7	163,1	-2,0	327,1	
24,0	1	99976,0	1	99975,0	23,2	153,6	-2,1	2000	NaN	NaN	C	139	74,9	71,8	56	59,3542428	24,7113971	6619813,74	1050921,88	73,5	342,1	False	NaN	158,5	_	65	NaN	_	NaN	NaN	_	NaN	73,5	23,2	-80,1	18,5	73,5	23,2	153,6	-2,1	342,1	72,9	20,0	-86,2	20,0	-12,8	20,0	159,0	-2,3	152,6	73,5	23,9	-80,1	19,2	73,5	23,9	153,6	-2,3	364,3	70,2	49,0	-77,4	44,0	-179,9	0,0	147,6	-2,3	0,0	72,9	12,2	-80,1	9,9	167,5	25,3	153,0	-2,1	230,9	73,5	23,2	-80,1	18,5	73,5	23,2	153,6	-2,1	342,1	
25,0	1	99975,0	1	99974,0	23,7	158,9	-2,2	2000	NaN	NaN	C	146	74,9	71,8	56	59,3542440	24,7113979	6619813,89	1050921,91	75,4	346,3	False	NaN	157,6	_	64	NaN	_	NaN	NaN	_	NaN	75,4	23,7	-83,5	18,6	75,4	23,7	158,9	-2,2	346,3	72,3	19,6	-83,5	19,6	-14,0	19,6	155,8	-2,4	137,0	75,4	25,0	-82,1	20,1	75,4	25,0	157,6	-2,4	391,2	71,0	49,8	-71,5	45,4	-179,3	0,0	142,4	-2,4	0,0	75,4	12,8	-83,5	9,8	162,9	26,0	158,9	-2,2	234,8	75,4	23,7	-83,5	18,6	75,4	23,7	158,9	-2,2	346,3	
