ViaPPS produsert fil	: Filversjon 1.21
F.ID.	: Rosita_NO_001
ViaPPS software versjon	: 8.9.12.1

Rapportdato				: 26.03.2026 13:24:47
Filnavn					: PPS_Fy01_93_1_m99999-1_m99096_felt2___20260313-145233.txt
Mappe					: D:\ViaPPS_RBS\RAW_DATA\Fy001_93_hp1_f2_20260313-145233

ViaPPS opptakerversjon	: 8.5.6.0 - 01.06.2016 13:21:02

Sjåfør					: Egon
Bilnummer				: 
UtstyrsID				: VIATECH
Utstyrsmerknader		: 
Opptaksdato				: 13.03.2026 14:52:33
Formål					: 
Måleserienummer					: 1
Målingskommentarer		: 
Målingslengde			: 902
Værkommentarer			: 
Teksturlaserposisjon	: Y

Beregningsintervall [m]	: 1
Rettholt venstre [m]	: Bunnrettholt : -1,8[m]  Snorholt : -1,8[m]  Regresjonsholt : -1,8[m]
Rettholt høyre [m]		: Bunnrettholt :  1,8[m]  Snorholt :  1,8[m]  Regresjonsholt :  1,8[m]
Filter orden [punkter]	: 11
Profil snittlengde [m]	: 0,0
Metodefil versjon/dato	: Ikke tilgjengelig
Beregningskommentaer	: Beregningstype=CEN_13036_8, Midlingsalgoritme=ChebyshevFilter, AntallMidledeProfiler=1, Rettholtlengdetype=Fast lengde, Sporryggdeteksjon=Av
Kalibreringsdata	: Kalib.dato=19. juni 2025 09:11:30, Pulser=1203,835000, Rull=0,000000, Stamp=-0,033432, ScannerRull=-0,006738
Tverrfallskalibreringsdata	: 13. mars 2026 14:35:31
Sensormontasjedata1	: Imu=-1,60[m], ProfileScanner=-3,60[m], TeksturLaser=2,26[m]
Sensormontasjedata2	: GnssDx=-1,92[m], GnssDy=-0,28[m], GnssDz=-2,29[m]
Sensormontasjedata3	: GnssImuDx=-0,03[m], GnssImuDy=0,33[m], GnssImuDz=1,51[m]

Vegnett fylkesversjon			: 
Vegnett serverversjon			: 
Vegnett genereringsappliksajonsversjon	: 

Startposisjon:
Fylke			: 1
Veg				: 93
Strekning		: 1
Vegmeter		: 99999
Kjørefelt		: 2
Stedsnavn		: 

Stopposisjon:
Fylke			: 1
Veg				: 93
Strekning		: 1
Vegmeter		: 99096,669815277
Kjørefelt		: 2
Stedsnavn		: 

Vegnettnoder
Nodenr	: Lengde [m]	: Fylke []	: Stedsnavn []	: Vegnavn []	: Hp []	: Fra Vegmeter [m]	: Til Vegmeter [m]	: 
Node0	: 903	: 1	: 	: 93	: 1	: 99096	: 100000

Justeringsnoder
Justeringnr	: Distanse [m]	: Justering [m]

Utkjørt meter [m]	Fra strekning []	Fra vegmeter [m]	Til strekning []	Til vegmeter [m]	Spordybde [mm]	Sporbredde [cm]	Tverrfall [%]	Kurveradius [m]	IRI [mm/m]	MPD [mm]	Beregningsmetode []	Tid [ms]	Hastighet [km/t]	Høyde [m]	Signalkvalitet [%]	Breddegrad [°]	Lengdegrad [°]	Sone 33V N [m]	Sone 33V Ø [m]	Sporposisjon [cm]	Areal [cm^2]	Pause []	Pos. asfalt kant [cm]	Pos. kantlinje [cm]	Type kantlinje []	Kval. kantlinje [%]	Pos. midtlinje [cm]	Type midtlinje []	Kval. midtlinje [%]	Pos. ekstra midtlinje [cm]	Type ekstra midtlinje []	Kval. ekstra midtlinje [%]	CEN 13036 Høyre sporposisjon [cm]	CEN 13036 Høyre spordybde [mm]	CEN 13036 Venstre sporposisjon [cm]	CEN 13036 Venstre spordybde [mm]	CEN 13036 Max sporposisjon [cm]	CEN 13036 Max spordybde [mm]	CEN 13036 Sporbredde [cm]	CEN 13036 Tverrfall [%]	CEN 13036 Areal [cm^2]	Bunn Høyre sporposisjon [cm]	Bunn Høyre spordybde [mm]	Bunn Venstre sporposisjon [cm]	Bunn Venstre spordybde [mm]	Bunn Max sporposisjon [cm]	Bunn Max spordybde [mm]	Bunn Sporbredde [cm]	Bunn Tverrfall [%]	Bunn Areal [cm^2]	Snor Høyre sporposisjon [cm]	Snor Høyre spordybde [mm]	Snor Venstre sporposisjon [cm]	Snor Venstre spordybde [mm]	Snor Max sporposisjon [cm]	Snor Max spordybde [mm]	Snor Sporbredde [cm]	Snor Tverrfall [%]	Snor Areal [cm^2]	Krum Høyre sporposisjon [cm]	Krum Høyre spordybde [mm]	Krum Venstre sporposisjon [cm]	Krum Venstre spordybde [mm]	Krum Max sporposisjon [cm]	Krum Max spordybde [mm]	Krum Sporbredde [cm]	Krum Tverrfall [%]	Krum Areal [cm^2]	Regresjon Høyre sporposisjon [cm]	Regresjon Høyre spordybde [mm]	Regresjon Venstre sporposisjon [cm]	Regresjon Venstre spordybde [mm]	Regresjon Max sporposisjon [cm]	Regresjon Max spordybde [mm]	Regresjon Sporbredde [cm]	Regresjon Tverrfall [%]	Regresjon Areal [cm^2]	Metode Høyre sporposisjon [cm]	Metode Høyre spordybde [mm]	Metode Venstre sporposisjon [cm]	Metode Venstre spordybde [mm]	Metode Max sporposisjon [cm]	Metode Max spordybde [mm]	Metode Sporbredde [cm]	Metode Tverrfall [%]	Metode Areal [cm^2]	
11,0	1	99989,0	1	99988,0	24,5	160,6	-2,2	2000	NaN	NaN	C	70	66,7	71,0	56	59,3541602	24,7113365	6619804,11	1050919,80	77,4	366,9	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	77,4	24,5	-83,2	21,0	77,4	24,5	160,6	-2,2	366,9	77,4	21,0	-83,2	21,0	-6,8	21,0	160,6	-2,3	158,5	77,4	26,3	-83,2	22,8	77,4	26,3	160,6	-2,3	425,9	71,5	52,1	-73,9	48,0	-179,8	0,0	145,4	-2,3	0,0	77,4	13,1	-83,2	11,5	170,0	27,4	160,6	-2,2	254,1	77,4	24,5	-83,2	21,0	77,4	24,5	160,6	-2,2	366,9	
12,0	1	99988,0	1	99987,0	24,2	159,4	-2,1	2000	NaN	NaN	C	76	66,8	71,0	57	59,3541613	24,7113373	6619804,24	1050919,83	72,2	346,9	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	72,2	24,2	-87,3	20,5	72,2	24,2	159,4	-2,1	346,9	72,2	21,1	-87,3	21,1	-11,5	21,1	159,4	-2,3	151,9	72,2	25,5	-86,7	21,7	72,2	25,5	158,9	-2,3	387,2	72,2	51,5	-78,6	46,8	-179,1	0,0	150,8	-2,3	0,0	72,2	13,4	-86,7	11,5	167,1	26,5	158,9	-2,1	244,9	72,2	24,2	-87,3	20,5	72,2	24,2	159,4	-2,1	346,9	
13,0	1	99987,0	1	99986,0	24,0	162,0	-2,3	2000	NaN	NaN	C	83	66,8	71,0	56	59,3541624	24,7113381	6619804,37	1050919,86	74,8	357,4	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	74,8	24,0	-87,2	19,9	74,8	24,0	162,0	-2,3	357,4	74,8	19,9	-87,2	19,9	-8,6	19,9	162,0	-2,4	152,7	74,8	26,1	-87,2	22,1	74,8	26,1	162,0	-2,4	427,7	74,2	52,0	-73,7	47,4	-179,8	0,0	148,0	-2,4	0,0	74,8	13,0	-87,2	10,6	167,2	27,1	162,0	-2,3	252,7	74,8	24,0	-87,2	19,9	74,8	24,0	162,0	-2,3	357,4	
14,0	1	99986,0	1	99985,0	24,9	165,3	-2,3	2000	NaN	NaN	C	90	66,8	71,0	56	59,3541635	24,7113388	6619804,49	1050919,88	79,4	362,6	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	79,4	24,9	-85,9	21,1	79,4	24,9	165,3	-2,3	362,6	79,4	21,0	-85,9	21,0	-12,7	21,0	165,3	-2,4	163,6	79,4	26,7	-83,2	23,0	79,4	26,7	162,6	-2,4	424,2	72,8	51,9	-76,4	48,0	-180,0	0,0	149,1	-2,4	0,0	79,4	13,5	-85,9	11,7	169,3	27,7	165,3	-2,3	250,6	79,4	24,9	-85,9	21,1	79,4	24,9	165,3	-2,3	362,6	
15,0	1	99985,0	1	99984,0	24,6	160,6	-2,7	2000	NaN	NaN	C	97	66,8	71,0	56	59,3541635	24,7113388	6619804,49	1050919,88	75,6	349,6	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	75,6	24,6	-85,0	19,4	75,6	24,6	160,6	-2,7	349,6	71,5	20,0	-86,3	20,0	-9,2	20,0	157,9	-2,9	142,8	71,5	26,8	-85,0	21,6	71,5	26,8	156,5	-2,9	419,8	71,5	53,0	-76,4	47,2	-179,9	0,0	147,9	-2,9	0,0	71,5	13,7	-85,0	10,6	168,9	28,1	156,5	-2,7	247,0	75,6	24,6	-85,0	19,4	75,6	24,6	160,6	-2,7	349,6	
16,0	1	99984,0	1	99983,0	24,0	160,7	-2,5	2000	NaN	NaN	C	104	66,8	71,0	57	59,3541647	24,7113396	6619804,62	1050919,91	77,5	344,6	False	NaN	162,9	_	66	NaN	_	NaN	NaN	_	NaN	77,5	24,0	-83,2	19,8	77,5	24,0	160,7	-2,5	344,6	77,5	20,3	-83,2	20,3	-12,1	20,3	160,7	-2,6	148,5	77,5	25,5	-83,2	21,4	77,5	25,5	160,7	-2,6	394,9	72,9	51,3	-75,8	46,6	-179,4	0,0	148,7	-2,6	0,0	77,5	13,1	-83,2	11,0	166,7	26,5	160,7	-2,5	236,8	77,5	24,0	-83,2	19,8	77,5	24,0	160,7	-2,5	344,6	
17,0	1	99983,0	1	99982,0	23,5	164,1	-2,3	2000	NaN	NaN	C	111	66,8	71,0	57	59,3541658	24,7113404	6619804,75	1050919,93	81,5	341,4	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	81,5	23,5	-82,6	19,8	81,5	23,5	164,1	-2,3	341,4	78,1	19,8	-82,6	19,8	-12,1	19,8	160,7	-2,4	145,7	81,5	25,2	-81,9	21,8	81,5	25,2	163,5	-2,4	399,8	75,5	50,7	-77,2	47,3	-179,8	0,0	152,7	-2,4	0,0	78,1	12,6	-81,9	11,2	169,2	26,3	160,1	-2,3	243,4	81,5	23,5	-82,6	19,8	81,5	23,5	164,1	-2,3	341,4	
18,0	1	99982,0	1	99981,0	22,8	160,7	-2,2	2000	NaN	NaN	C	118	66,8	71,0	57	59,3541669	24,7113412	6619804,88	1050919,96	76,1	345,6	False	NaN	162,8	_	66	NaN	_	NaN	NaN	_	NaN	76,1	22,8	-84,5	19,5	76,1	22,8	160,7	-2,2	345,6	73,5	19,8	-84,5	19,8	-11,5	19,8	158,1	-2,2	144,8	73,5	24,2	-81,9	20,9	73,5	24,2	155,4	-2,2	390,5	68,8	50,2	-76,6	46,2	-180,0	0,0	145,4	-2,2	0,0	73,5	11,9	-84,5	10,8	173,9	25,6	158,1	-2,2	235,0	76,1	22,8	-84,5	19,5	76,1	22,8	160,7	-2,2	345,6	
19,0	1	99981,0	1	99980,0	23,4	157,9	-2,4	2000	NaN	NaN	C	125	66,8	71,0	57	59,3541680	24,7113420	6619805,01	1050919,98	76,8	359,7	False	NaN	162,8	_	66	NaN	_	NaN	NaN	_	NaN	76,8	23,4	-81,1	20,5	76,8	23,4	157,9	-2,4	359,7	74,8	20,5	-81,1	20,5	-7,4	20,5	155,9	-2,4	153,9	76,2	24,9	-81,1	22,2	76,2	24,9	157,3	-2,4	409,3	61,0	51,1	-77,1	47,3	-179,8	0,0	138,1	-2,4	0,0	75,5	12,1	-81,1	11,3	167,3	26,1	156,6	-2,4	249,2	76,8	23,4	-81,1	20,5	76,8	23,4	157,9	-2,4	359,7	
20,0	1	99980,0	1	99979,0	22,9	159,3	-2,4	2000	NaN	NaN	C	132	66,8	71,0	56	59,3541691	24,7113427	6619805,14	1050920,01	76,1	342,1	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	76,1	22,9	-83,2	19,9	76,1	22,9	159,3	-2,4	342,1	71,4	19,4	-83,2	19,4	-13,3	19,4	154,6	-2,5	130,9	76,1	24,9	-83,2	22,1	76,1	24,9	159,3	-2,5	409,1	71,4	51,1	-77,1	47,5	-179,6	0,0	148,5	-2,5	0,0	76,1	12,3	-83,2	11,1	173,0	25,8	159,3	-2,4	244,6	76,1	22,9	-83,2	19,9	76,1	22,9	159,3	-2,4	342,1	
21,0	1	99979,0	1	99978,0	24,9	156,7	-2,7	2000	NaN	NaN	C	139	66,8	71,0	56	59,3541702	24,7113435	6619805,27	1050920,04	75,7	362,5	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	75,7	24,9	-81,0	19,2	75,7	24,9	156,7	-2,7	362,5	74,9	19,5	-81,0	19,5	-9,1	19,5	155,9	-2,8	137,8	74,9	27,4	-81,0	22,0	74,9	27,4	155,9	-2,8	444,3	72,2	52,9	-75,7	47,2	-179,1	0,0	148,0	-2,8	0,0	74,9	13,1	-81,0	10,5	169,4	29,0	155,9	-2,7	252,1	75,7	24,9	-81,0	19,2	75,7	24,9	156,7	-2,7	362,5	
22,0	1	99978,0	1	99977,0	24,6	164,0	-2,4	2000	NaN	NaN	C	146	66,8	71,0	57	59,3541713	24,7113443	6619805,40	1050920,06	80,2	353,5	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	80,2	24,6	-83,8	19,7	80,2	24,6	164,0	-2,4	353,5	76,8	20,8	-83,8	20,8	-9,7	20,8	160,6	-2,6	154,5	76,8	25,8	-83,8	21,0	76,8	25,8	160,6	-2,6	395,0	73,6	51,2	-76,5	46,4	-179,7	0,0	150,1	-2,6	0,0	76,8	13,5	-83,8	10,6	169,4	27,0	160,6	-2,4	246,2	80,2	24,6	-83,8	19,7	80,2	24,6	164,0	-2,4	353,5	
23,0	1	99977,0	1	99976,0	22,5	164,6	-2,2	2000	NaN	NaN	C	153	66,8	71,0	57	59,3541725	24,7113451	6619805,53	1050920,09	83,5	330,2	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	83,5	22,5	-81,2	20,0	83,5	22,5	164,6	-2,2	330,2	79,4	19,2	-81,2	19,2	-3,9	19,2	160,6	-2,2	135,5	79,4	24,6	-81,2	22,4	79,4	24,6	160,6	-2,2	402,3	73,5	49,9	-78,5	47,7	-179,9	0,0	152,0	-2,2	0,0	79,4	12,2	-81,2	11,5	169,2	25,5	160,6	-2,2	238,0	83,5	22,5	-81,2	20,0	83,5	22,5	164,6	-2,2	330,2	
24,0	1	99976,0	1	99975,0	23,4	162,0	-2,1	2000	NaN	NaN	C	160	66,8	71,0	57	59,3541736	24,7113459	6619805,66	1050920,12	80,1	339,9	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	80,1	23,4	-81,9	19,8	80,1	23,4	162,0	-2,1	339,9	79,5	20,3	-81,9	20,3	-6,2	20,3	161,4	-2,2	150,2	79,5	24,7	-81,9	21,3	79,5	24,7	161,4	-2,2	385,8	71,5	50,3	-74,7	46,9	-179,1	0,0	146,1	-2,2	0,0	79,5	12,5	-81,9	11,3	168,1	25,9	161,4	-2,1	238,4	80,1	23,4	-81,9	19,8	80,1	23,4	162,0	-2,1	339,9	
25,0	1	99975,0	1	99974,0	24,0	158,8	-2,3	2000	NaN	NaN	C	167	66,8	71,0	57	59,3541747	24,7113466	6619805,79	1050920,14	76,2	360,6	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	76,2	24,0	-82,6	20,9	76,2	24,0	158,8	-2,3	360,6	76,2	20,6	-82,6	20,6	-14,4	20,6	158,8	-2,4	150,3	76,2	25,8	-82,6	23,0	76,2	25,8	158,8	-2,4	423,7	68,9	51,9	-76,5	48,7	-179,7	0,0	145,4	-2,4	0,0	76,2	12,8	-82,6	11,7	167,3	26,8	158,8	-2,3	250,8	76,2	24,0	-82,6	20,9	76,2	24,0	158,8	-2,3	360,6	
